 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5.39,16,107,21.80,1.90
2,1.41,7,104,135.00,1.00
3,2.24,15,110,153.43,1.00
4,1.41,9,111,135.00,1.00
5,6.40,25,244,38.66,1.94
6,1.41,23,244,135.00,1.00
7,1.41,15,249,135.00,1.00
8,4.12,51,285,104.04,1.00
9,2.83,558,406,45.00,1.41
10,5.10,697,726,168.69,1.00
11,7.07,543,603,98.13,1.00
12,7.21,795,715,146.31,1.79
13,7.28,671,720,164.05,1.96
14,5.83,200,569,59.04,1.79
15,2.24,653,473,153.43,1.00
16,9.49,1012,702,18.43,1.90
17,3.16,728,553,108.43,1.00
18,4.24,274,708,135.00,1.41
19,4.24,615,748,135.00,1.41
20,7.62,856,763,23.20,1.94
21,12.17,262,614,80.54,1.99
22,14.14,685,628,98.13,1.99
23,5.39,576,474,21.80,1.90
24,7.28,626,683,105.95,1.94
25,6.71,740,817,153.43,1.79
26,2.24,746,703,116.57,1.00
27,3.61,607,945,123.69,1.79
28,5.39,529,694,21.80,1.90
29,3.16,206,609,108.43,1.00
30,3.61,206,613,123.69,1.79
31,3.16,461,526,108.43,1.00
32,5.10,722,530,101.31,1.00
33,3.16,791,805,161.57,1.00
34,1.41,931,880,135.00,1.00
35,2.24,633,797,116.57,1.00
36,8.49,715,708,45.00,1.41
37,8.06,1031,753,172.87,1.00
38,9.43,880,676,122.01,1.79
39,4.47,622,412,26.57,1.90
40,4.24,557,776,135.00,1.41
41,2.24,791,804,153.43,1.00
42,6.40,616,986,141.34,1.94
43,7.28,603,550,74.05,1.96
44,4.24,657,855,135.00,1.41
45,3.61,385,659,123.69,1.79
46,5.00,392,670,126.87,1.79
47,7.07,632,519,45.00,1.41
48,11.70,764,638,70.02,1.90
49,16.12,486,548,97.13,1.99
50,7.81,917,962,140.19,1.94
51,8.49,876,702,45.00,1.41
52,8.25,961,708,165.96,1.94
53,8.60,701,661,144.46,2.00
54,5.00,657,771,143.13,1.79
55,15.00,609,644,126.87,2.13
56,9.49,731,861,161.57,2.06
57,7.28,657,806,164.05,1.94
58,6.08,804,555,99.46,1.00
59,6.32,410,528,161.57,1.94
60,17.20,501,668,54.46,2.09
61,16.12,567,650,97.13,1.99
62,16.03,400,535,93.58,1.00
63,6.40,771,532,38.66,1.94
64,5.83,643,702,149.04,1.94
65,4.24,810,675,45.00,1.41
66,4.24,594,911,135.00,1.41
67,5.39,633,436,21.80,1.90
68,5.00,529,557,53.13,1.79
69,5.83,523,568,59.04,1.94
70,3.16,588,672,161.57,1.00
71,7.28,582,672,15.95,1.94
72,2.24,830,666,153.43,1.00
73,9.49,704,537,161.57,1.96
74,6.40,558,747,38.66,1.94
75,10.00,771,764,143.13,2.00
76,7.21,928,785,33.69,1.94
77,5.83,571,542,59.04,1.79
78,3.61,414,640,123.69,1.79
79,3.61,416,647,123.69,1.79
80,2.24,420,659,116.57,1.00
81,5.10,448,621,168.69,1.00
