 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,10.05,435,612,95.71,1.00
2,4.12,1188,413,104.04,1.00
3,16.28,1354,377,169.38,1.99
4,5.00,924,243,126.87,1.79
5,2.24,1045,692,153.43,1.00
6,6.32,721,452,18.43,1.94
7,5.00,525,782,143.13,1.94
8,6.40,838,307,128.66,1.94
9,9.22,227,619,77.47,1.96
10,2.24,160,663,116.57,1.00
11,1.41,1180,620,135.00,1.00
12,3.61,937,965,33.69,1.79
13,16.49,311,609,104.04,2.06
14,4.47,639,443,153.43,1.79
15,3.16,670,764,161.57,1.00
16,11.18,81,528,169.70,1.97
17,10.44,648,606,106.70,1.94
18,2.24,659,305,153.43,1.00
19,6.40,870,252,51.34,1.94
20,13.45,60,479,48.01,2.06
21,7.21,865,331,123.69,1.79
22,1.41,589,793,135.00,1.00
23,13.00,576,799,22.62,2.04
24,2.83,545,233,135.00,1.41
25,3.61,866,438,33.69,1.79
26,5.00,964,493,143.13,1.94
27,5.00,947,340,36.87,1.79
28,4.12,689,441,165.96,1.00
29,3.61,1081,428,146.31,1.79
30,2.83,910,943,135.00,1.41
31,2.24,1001,802,116.57,1.00
32,3.61,306,629,56.31,1.79
33,1.41,901,645,135.00,1.00
34,11.18,902,650,100.30,1.99
35,4.12,668,436,165.96,1.00
36,15.81,823,415,55.30,2.12
37,1.41,313,796,135.00,1.00
38,20.62,132,601,67.17,2.15
39,3.61,907,836,123.69,1.79
40,8.54,282,770,69.44,1.90
41,8.25,792,605,104.04,1.97
42,13.89,990,775,59.74,2.14
43,6.71,978,391,26.57,1.79
44,1.41,726,664,135.00,1.00
45,5.83,876,311,30.96,1.79
46,5.39,998,714,21.80,1.90
47,6.40,898,1108,38.66,1.94
48,5.39,660,684,111.80,1.94
49,9.43,350,673,57.99,2.11
50,21.38,775,538,100.78,2.05
51,3.16,647,811,161.57,1.00
52,6.71,686,348,26.57,1.79
53,6.40,621,200,51.34,1.94
54,5.10,700,597,101.31,1.00
55,2.24,908,836,116.57,1.00
56,4.24,956,876,135.00,1.41
57,3.61,100,566,56.31,1.79
58,12.21,90,581,55.01,1.94
59,2.24,1053,608,116.57,1.00
60,16.28,882,480,47.49,2.07
61,8.60,739,697,35.54,2.06
62,12.37,918,315,104.04,2.06
63,3.16,753,609,108.43,1.00
64,17.26,1102,471,169.99,1.99
65,7.81,774,719,39.81,1.94
66,6.71,970,778,26.57,2.04
67,5.39,729,517,158.20,1.90
68,4.12,893,510,104.04,1.00
69,6.71,786,356,116.57,1.90
70,8.25,792,605,104.04,1.97
71,2.24,360,847,116.57,1.00
72,4.47,520,708,26.57,1.79
73,9.85,929,620,23.96,2.10
74,3.61,641,746,146.31,1.79
75,2.24,726,594,116.57,1.00
76,4.47,633,835,63.43,1.79
77,3.61,328,522,33.69,1.79
78,13.34,751,527,167.01,1.97
79,2.24,621,632,153.43,1.00
80,3.16,538,526,161.57,1.00
81,3.61,1157,374,146.31,1.79
82,5.39,967,342,158.20,1.94
83,3.61,1057,495,56.31,1.79
84,6.40,197,751,141.34,2.00
85,3.16,748,199,108.43,1.00
86,7.28,408,673,105.95,1.96
87,18.03,1356,448,33.69,2.12
88,2.83,948,645,45.00,1.41
89,1.41,947,646,135.00,1.00
90,15.26,939,661,58.39,2.11
91,10.05,802,923,174.29,1.00
92,2.24,793,949,153.43,1.00
93,4.12,805,949,165.96,1.00
94,4.24,788,679,45.00,1.41
95,7.28,1143,400,164.05,1.94
96,8.54,679,494,159.44,1.97
97,21.21,361,624,81.87,1.99
98,21.02,168,616,64.65,2.15
99,8.54,323,668,159.44,2.04
100,4.47,485,808,63.43,1.79
101,10.63,554,763,41.19,2.03
102,7.62,1096,453,113.20,1.90
103,11.40,1086,620,74.74,1.94
104,10.44,823,859,163.30,1.97
105,7.07,983,741,135.00,1.41
106,15.23,721,678,66.80,2.11
107,2.83,295,720,135.00,1.41
108,1.41,658,399,135.00,1.00
109,5.83,698,672,120.96,1.94
110,2.24,797,972,153.43,1.00
111,5.00,875,372,53.13,1.94
112,3.61,809,1033,146.31,1.79
113,4.24,872,1080,45.00,1.41
114,2.83,619,555,135.00,1.41
115,8.25,754,224,14.04,1.96
116,6.40,788,341,51.34,1.94
117,1.41,1041,608,135.00,1.00
118,6.40,1053,610,51.34,1.94
119,10.30,454,461,150.95,2.06
120,10.63,919,635,48.81,2.06
121,6.32,889,632,161.57,1.90
122,12.53,647,512,61.39,1.79
123,1.41,519,413,135.00,1.00
124,7.28,613,494,164.05,1.97
125,10.05,604,504,95.71,1.00
126,5.83,856,456,59.04,1.79
127,3.61,851,467,56.31,1.79
128,4.47,515,676,26.57,1.90
129,9.43,828,666,147.99,2.06
130,5.83,537,523,30.96,1.90
131,2.83,698,671,135.00,1.41
132,2.24,553,494,153.43,1.00
133,5.10,518,704,168.69,1.00
134,2.24,823,1023,153.43,1.00
135,1.41,292,689,135.00,1.00
136,4.24,984,705,135.00,1.41
137,6.71,1287,607,116.57,1.79
138,7.28,687,501,105.95,1.96
139,1.41,791,1083,135.00,1.00
140,5.00,624,779,36.87,1.94
141,2.24,783,1020,153.43,1.00
142,4.47,412,532,153.43,1.79
143,5.39,840,642,21.80,1.90
144,2.24,277,749,116.57,1.00
145,2.24,832,445,116.57,1.00
146,8.49,681,523,45.00,1.41
147,2.24,855,454,116.57,1.00
148,9.22,856,465,102.53,1.96
149,1.41,786,1052,135.00,1.00
150,1.41,784,1055,135.00,1.00
151,4.47,784,1024,153.43,1.90
152,4.24,784,1052,45.00,1.41
153,5.00,604,689,143.13,1.94
154,2.24,671,399,153.43,1.00
155,6.08,895,611,170.54,1.00
156,2.24,293,537,153.43,1.00
157,10.44,404,696,16.70,1.94
158,10.82,542,562,146.31,2.06
159,6.32,717,547,71.57,1.94
160,5.10,612,520,168.69,1.00
161,4.12,622,520,165.96,1.00
162,13.04,757,1050,57.53,2.11
163,6.08,822,604,99.46,1.00
164,8.06,961,746,29.74,1.79
165,2.24,203,731,153.43,1.00
166,3.16,337,740,161.57,1.00
167,2.24,211,496,153.43,1.00
168,10.77,533,653,68.20,2.04
