 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,14.14,1243,501,8.13,1.99
2,11.40,333,906,142.13,2.00
3,4.47,242,1322,26.57,1.90
4,8.94,532,1451,26.57,2.04
5,3.16,1788,696,161.57,1.00
6,7.07,1793,696,171.87,1.00
7,11.18,766,966,26.57,2.04
8,9.22,837,505,49.40,2.00
9,2.24,1103,1038,153.43,1.00
10,7.21,1099,418,123.69,1.94
11,4.47,1170,1596,116.57,1.79
12,1.41,1716,391,135.00,1.00
13,11.66,783,418,149.04,2.12
14,11.18,150,479,153.43,2.04
15,8.06,139,382,29.74,2.04
16,5.00,892,499,126.87,1.94
17,2.83,1423,168,45.00,1.41
18,1.41,1455,711,135.00,1.00
19,3.61,1471,720,146.31,1.79
20,9.22,1085,534,102.53,1.96
21,2.24,1478,771,116.57,1.00
22,17.46,682,255,103.24,1.96
23,7.21,1372,1206,146.31,1.79
24,10.82,804,247,123.69,1.94
25,2.24,1047,504,116.57,1.00
26,16.40,874,1206,142.43,2.00
27,9.22,1232,1425,102.53,1.97
28,5.00,1140,1021,36.87,1.79
29,9.43,1125,1029,32.01,1.79
30,1.41,591,974,135.00,1.00
31,12.04,258,233,175.24,1.00
32,2.24,684,452,116.57,1.00
33,9.85,603,344,156.04,2.10
34,6.32,1355,1067,18.43,1.90
35,1.41,654,732,135.00,1.00
36,2.83,644,744,45.00,1.41
37,13.60,1106,1215,143.97,2.00
38,3.16,1566,719,161.57,1.00
39,5.39,653,587,158.20,1.90
40,20.81,945,1132,125.22,2.13
41,2.83,270,1237,45.00,1.41
42,1.41,261,1251,135.00,1.00
43,11.18,705,543,100.30,1.99
44,13.60,941,283,162.90,2.06
45,8.06,1082,1309,97.13,1.00
46,10.63,1070,393,41.19,2.00
47,2.24,778,471,116.57,1.00
48,4.47,781,488,116.57,1.90
49,8.60,1014,392,144.46,1.94
50,1.41,876,42,135.00,1.00
51,5.39,859,46,21.80,1.94
52,2.24,465,227,116.57,1.00
53,5.39,470,242,111.80,1.90
54,6.32,667,1136,18.43,1.96
55,6.32,655,1138,18.43,1.94
56,2.24,847,1137,116.57,1.00
57,5.39,713,1130,158.20,1.90
58,5.39,159,356,68.20,1.90
59,12.08,1159,402,65.56,2.10
60,13.00,1284,1172,67.38,2.11
61,11.40,1249,590,164.74,1.97
62,15.23,1546,845,113.20,2.11
63,13.93,1060,1248,111.04,2.11
64,7.28,1049,1164,164.05,1.94
65,5.83,1251,382,120.96,1.79
66,21.10,1616,1094,95.44,1.99
67,1.41,1147,564,135.00,1.00
68,8.94,758,415,153.43,2.04
69,22.47,902,531,122.28,2.16
70,10.63,940,461,131.19,2.00
71,8.94,768,362,116.57,2.04
72,7.21,589,976,56.31,1.94
73,11.70,800,621,160.02,1.90
74,4.24,1321,1474,135.00,1.41
75,1.41,361,490,135.00,1.00
76,2.24,740,1095,116.57,1.00
77,10.44,737,1112,73.30,1.97
78,10.44,1418,757,16.70,1.96
79,8.25,1407,759,14.04,1.96
80,14.76,987,1081,61.70,1.79
81,8.60,250,347,144.46,1.94
82,13.15,799,13,81.25,1.98
83,6.32,990,769,71.57,1.96
84,10.30,194,1137,29.05,1.79
85,17.26,566,386,79.99,1.99
86,13.04,764,553,94.40,1.00
87,6.08,844,420,99.46,1.00
88,3.16,844,427,108.43,1.00
89,17.80,588,429,141.84,2.00
90,8.06,701,682,97.13,1.00
91,5.83,533,1513,59.04,1.79
92,2.24,489,933,153.43,1.00
93,12.65,472,939,18.43,1.94
94,19.70,1718,544,23.96,2.15
95,3.61,328,286,146.31,1.79
96,6.32,1416,220,108.43,1.90
97,11.40,1081,304,74.74,1.98
98,12.08,599,224,155.56,2.10
99,6.32,852,365,71.57,1.94
100,12.21,641,402,124.99,1.94
101,8.94,1041,909,116.57,2.04
102,18.25,869,1187,80.54,1.99
103,9.43,851,386,122.01,2.06
104,20.52,879,943,136.97,2.07
105,18.44,646,1311,40.60,2.07
106,9.49,816,548,108.43,1.94
107,4.24,1434,682,135.00,1.41
108,18.11,491,917,6.34,1.99
109,11.31,366,1146,45.00,1.41
110,1.41,1033,1115,135.00,1.00
111,17.09,763,575,69.44,2.11
112,3.16,1654,1150,108.43,1.00
113,6.40,931,1293,38.66,1.94
114,8.94,1214,287,63.43,2.04
115,13.04,664,1361,175.60,1.00
116,7.62,1602,818,113.20,2.04
117,3.61,1605,826,123.69,1.79
118,15.13,623,954,172.41,1.99
119,2.24,641,955,153.43,1.00
120,6.40,1150,318,51.34,1.94
121,8.49,845,1102,45.00,1.41
122,5.83,1292,1215,149.04,1.79
123,16.16,850,1378,111.80,2.11
124,5.10,1362,1368,168.69,1.00
125,20.59,553,928,29.05,1.79
126,2.24,719,168,153.43,1.00
127,16.16,703,175,21.80,2.11
128,19.24,574,685,98.97,1.99
129,10.63,1381,322,48.81,2.00
130,8.60,1165,252,54.46,2.00
131,2.83,710,365,45.00,1.41
132,12.17,1051,1112,170.54,1.98
133,13.00,988,511,112.62,2.11
134,4.47,1059,933,153.43,1.79
135,4.12,1040,325,165.96,1.00
136,5.10,1055,325,168.69,1.00
137,2.83,965,1100,45.00,1.41
138,1.41,953,1112,135.00,1.00
139,4.12,1721,997,165.96,1.00
140,2.24,1740,1000,153.43,1.00
141,9.49,852,267,18.43,1.94
142,10.63,701,1305,131.19,2.03
143,3.61,458,307,33.69,1.79
144,2.83,443,315,45.00,1.41
145,8.06,807,1028,29.74,1.79
146,10.30,795,1035,29.05,1.79
147,7.81,1305,454,140.19,2.00
148,1.41,983,464,135.00,1.00
149,13.89,356,1214,59.74,2.14
150,1.41,353,1219,135.00,1.00
151,14.76,1027,1145,118.30,1.79
152,3.61,1090,1073,56.31,1.79
153,2.24,343,1298,116.57,1.00
154,9.85,1288,709,23.96,2.04
155,7.81,1073,661,39.81,2.00
156,8.06,1212,1562,97.13,1.00
157,4.47,785,1402,63.43,1.79
158,20.40,520,326,11.31,1.97
159,18.11,553,1001,6.34,1.99
160,11.40,623,1506,127.87,2.03
161,2.83,1373,818,135.00,1.41
162,12.37,496,1194,75.96,1.98
163,14.14,818,658,171.87,1.99
164,4.24,477,366,135.00,1.41
165,7.07,1207,571,45.00,1.41
166,6.08,1204,181,170.54,1.00
167,8.54,211,1032,159.44,1.90
168,7.07,842,1207,171.87,1.00
169,1.41,541,1125,135.00,1.00
170,2.83,552,1139,135.00,1.41
171,2.83,930,174,45.00,1.41
172,9.90,916,187,45.00,1.41
173,6.71,565,1539,26.57,2.04
174,10.44,1210,1193,163.30,1.97
175,9.85,861,165,156.04,2.10
176,10.05,962,916,95.71,1.00
177,15.56,803,617,135.00,1.41
178,6.32,1330,700,18.43,1.96
179,5.39,1620,906,68.20,1.90
180,5.00,1364,545,126.87,1.94
181,1.41,1377,561,135.00,1.00
182,1.41,1431,410,135.00,1.00
183,4.47,740,188,116.57,1.79
184,11.66,779,68,59.04,2.11
185,8.60,599,588,125.54,1.94
186,7.62,799,1361,113.20,1.90
187,12.04,1206,348,48.37,2.07
188,12.17,767,1418,80.54,1.98
189,10.05,816,708,174.29,1.00
190,5.39,782,228,111.80,1.90
191,6.40,529,1253,128.66,2.00
192,3.16,1325,761,108.43,1.00
193,5.10,1325,771,101.31,1.00
194,10.63,1422,796,131.19,2.00
195,5.00,731,269,53.13,1.79
196,11.40,921,935,74.74,1.97
197,1.41,1230,1460,135.00,1.00
198,10.20,1233,1461,168.69,1.97
199,17.72,655,976,106.39,1.94
200,13.45,949,172,48.01,2.06
201,13.89,925,875,120.26,2.11
202,11.18,716,319,63.43,1.79
203,9.43,711,328,57.99,1.79
204,14.21,1026,586,140.71,2.03
205,10.82,1213,1111,33.69,2.06
206,2.83,554,627,45.00,1.41
207,2.83,544,634,45.00,1.41
208,1.41,539,636,135.00,1.00
209,12.04,1192,1169,94.76,1.00
210,5.39,1622,780,68.20,1.90
211,6.71,1056,1437,26.57,1.79
212,7.81,1452,753,129.81,2.03
213,21.93,901,1149,43.15,2.07
214,7.62,144,1188,23.20,1.90
215,9.90,1312,747,135.00,1.41
216,1.41,1326,761,135.00,1.00
217,20.22,789,400,81.47,1.99
218,12.08,1118,1388,65.56,2.04
219,1.41,1116,1392,135.00,1.00
220,9.06,624,139,173.66,1.00
221,12.21,1150,512,145.01,1.94
222,2.24,1388,648,153.43,1.00
223,14.87,728,896,47.73,2.06
224,21.21,1147,1373,135.00,1.41
225,13.00,429,399,67.38,2.11
226,8.25,348,579,75.96,1.96
227,7.28,587,1028,74.05,1.94
228,6.32,585,1041,71.57,1.94
229,21.02,632,557,115.35,2.13
230,20.02,391,1117,177.14,1.00
231,1.41,1357,712,135.00,1.00
232,2.83,1348,730,45.00,1.41
233,2.83,1397,1422,135.00,1.41
234,20.40,1253,1132,168.69,2.05
235,16.12,1676,1132,7.13,1.99
236,6.71,485,187,153.43,1.90
237,2.24,343,1298,116.57,1.00
238,20.22,997,1195,171.47,1.99
239,6.32,846,12,71.57,1.94
240,21.10,1055,1064,148.57,2.11
241,3.16,1378,57,161.57,1.00
242,12.37,1084,215,104.04,1.96
243,8.25,1780,843,14.04,1.94
244,13.93,710,326,111.04,2.11
245,6.71,430,1047,116.57,1.79
246,4.47,246,306,116.57,1.79
247,20.59,988,1146,29.05,1.79
248,21.21,379,1196,171.87,1.99
249,8.60,1177,1072,54.46,1.94
250,12.08,497,390,114.44,2.11
251,12.17,1039,1008,99.46,1.99
252,7.28,508,1146,105.95,1.96
253,19.42,997,1242,11.89,2.05
254,16.12,1067,463,172.87,1.99
255,16.12,560,562,82.87,1.99
256,12.04,653,1476,138.37,2.06
257,5.00,1669,515,143.13,1.94
258,6.40,1674,519,141.34,2.00
259,1.41,1386,648,135.00,1.00
260,6.40,1379,658,51.34,1.94
261,6.40,749,1369,38.66,2.00
262,20.12,1242,1197,153.43,2.13
263,14.87,842,1270,160.35,2.11
264,6.32,1172,1090,108.43,1.96
265,3.61,1498,456,123.69,1.79
266,13.15,1250,1050,171.25,1.99
267,7.62,1124,234,66.80,1.90
268,11.40,820,205,105.26,1.97
269,7.28,1391,558,15.95,1.94
270,10.20,1781,880,11.31,1.98
271,1.41,1270,952,135.00,1.00
272,3.61,1273,959,123.69,1.79
273,6.40,460,225,128.66,1.94
274,13.42,705,859,26.57,2.10
275,1.41,1202,825,135.00,1.00
276,3.16,1214,828,161.57,1.00
277,8.06,579,95,60.26,1.79
278,17.00,967,1350,151.93,1.79
279,10.44,1321,486,73.30,1.94
280,8.94,1498,1118,63.43,1.90
281,7.62,1529,892,66.80,1.90
282,3.16,387,1292,108.43,1.00
283,17.12,938,1387,83.29,1.99
284,7.28,1030,1333,164.05,1.94
285,14.87,367,1084,42.27,2.06
286,14.56,786,470,74.05,1.96
287,16.28,645,912,132.51,2.07
288,6.40,1249,248,51.34,2.00
289,2.24,1350,1412,153.43,1.00
290,14.21,545,235,129.29,2.07
291,2.83,1296,1344,135.00,1.41
292,13.60,815,1377,17.10,2.06
293,5.10,415,955,168.69,1.00
294,5.00,363,736,126.87,1.94
295,6.71,821,1191,116.57,2.04
296,6.40,1347,273,38.66,1.94
297,2.24,1226,373,153.43,1.00
298,16.49,698,418,14.04,2.06
299,18.79,1555,980,115.20,2.13
300,9.90,416,1392,45.00,1.41
301,19.92,362,1269,162.47,1.94
302,3.61,1746,483,123.69,1.79
303,10.00,1782,1127,143.13,2.00
304,12.04,285,218,48.37,2.03
305,2.24,1355,758,153.43,1.00
306,3.16,1373,762,161.57,1.00
307,20.40,1699,1127,78.69,1.97
308,17.00,476,1228,28.07,1.79
309,10.30,1247,747,150.95,1.79
310,3.16,199,1217,108.43,1.00
311,11.66,797,1063,149.04,1.79
312,17.49,1418,754,30.96,2.14
313,2.83,495,42,45.00,1.41
314,20.22,722,519,171.47,1.99
315,11.40,896,1105,164.74,1.96
316,10.05,922,1082,95.71,1.00
317,10.30,595,402,29.05,1.79
318,2.83,142,556,45.00,1.41
319,21.26,904,1162,131.19,2.07
320,22.02,649,1017,129.47,2.11
321,7.21,246,173,33.69,1.94
322,9.43,1011,289,32.01,2.06
323,20.10,1056,449,84.29,1.99
324,18.11,1109,405,96.34,1.99
325,21.26,400,1197,48.81,2.07
326,8.49,481,377,135.00,1.41
327,2.83,492,388,135.00,1.41
328,8.94,1730,866,63.43,1.79
329,6.71,1724,878,63.43,1.79
330,14.76,970,241,61.70,1.79
331,9.85,1242,340,113.96,2.04
