 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5.00,361,1049,126.87,1.94
2,5.66,326,971,45.00,1.41
3,6.71,308,1071,116.57,1.94
4,5.66,324,971,45.00,1.41
5,4.47,294,949,63.43,1.79
6,4.12,190,898,165.96,1.00
7,1.41,272,925,135.00,1.00
8,3.61,262,931,33.69,1.79
9,1.41,349,992,135.00,1.00
10,7.62,376,1015,66.80,1.90
11,1.41,334,988,135.00,1.00
12,9.43,473,570,32.01,1.79
13,1.41,262,492,135.00,1.00
14,8.25,297,428,104.04,1.94
15,3.61,344,672,146.31,1.79
16,5.66,462,469,45.00,1.41
17,7.62,547,531,23.20,1.94
18,1.41,370,389,135.00,1.00
19,7.81,527,338,39.81,1.94
20,3.61,558,599,56.31,1.79
21,6.71,536,614,26.57,1.79
22,3.16,368,676,161.57,1.00
23,1.41,383,678,135.00,1.00
24,19.10,601,504,137.12,2.07
25,4.12,349,438,165.96,1.00
26,5.39,355,721,21.80,1.90
27,14.32,577,424,65.22,2.11
28,6.71,380,423,63.43,1.79
29,13.34,458,717,102.99,1.97
30,3.61,627,401,123.69,1.79
31,14.76,418,727,118.30,1.79
32,1.41,603,346,135.00,1.00
33,4.24,599,352,45.00,1.41
34,7.81,418,402,50.19,2.03
35,5.83,638,414,149.04,1.79
36,4.47,364,629,153.43,1.90
37,7.81,662,383,129.81,1.94
38,6.71,440,427,26.57,1.90
39,8.06,587,510,119.74,1.79
40,1.41,439,646,135.00,1.00
41,3.16,575,345,161.57,1.00
42,2.24,562,345,153.43,1.00
43,6.32,522,561,18.43,1.96
44,13.60,563,620,126.03,2.00
45,3.61,412,441,56.31,1.79
46,2.24,433,676,153.43,1.00
47,2.24,604,530,153.43,1.00
48,1.41,651,352,135.00,1.00
49,2.83,503,539,45.00,1.41
50,4.24,438,643,135.00,1.41
51,8.06,605,396,172.87,1.00
52,22.20,479,697,144.16,2.13
53,8.94,566,546,153.43,2.04
54,5.00,549,373,53.13,1.79
55,5.00,629,344,126.87,1.94
56,2.83,315,571,45.00,1.41
57,8.54,346,735,110.56,2.06
58,4.47,465,672,116.57,1.90
59,5.83,593,568,149.04,1.79
60,6.32,388,735,108.43,1.96
61,6.40,613,468,38.66,1.94
62,3.16,552,393,161.57,1.00
63,14.14,557,393,171.87,1.99
64,3.61,451,692,146.31,1.79
65,9.49,620,486,161.57,1.94
66,13.04,580,603,147.53,2.12
67,4.47,523,563,153.43,1.79
68,4.24,353,553,45.00,1.41
69,3.61,381,705,56.31,1.79
70,3.61,376,714,56.31,1.79
71,8.54,369,711,20.56,2.06
72,16.16,535,641,111.80,1.90
73,5.66,487,683,45.00,1.41
74,2.24,608,430,153.43,1.00
75,2.83,592,570,135.00,1.41
76,4.12,430,709,165.96,1.00
77,7.28,440,710,164.05,1.97
78,1.41,588,536,135.00,1.00
79,5.83,585,543,59.04,1.90
80,6.08,385,665,170.54,1.00
81,5.00,630,366,36.87,1.79
82,8.94,658,410,26.57,1.79
83,3.61,652,413,33.69,1.79
84,2.24,584,376,116.57,1.00
85,5.39,714,310,21.80,1.90
86,3.61,441,709,33.69,1.79
87,5.83,429,715,30.96,1.79
88,7.07,689,340,98.13,1.00
89,4.24,717,328,135.00,1.41
90,15.56,514,657,135.00,1.41
91,6.40,645,381,38.66,1.94
92,4.24,638,386,45.00,1.41
93,1.41,558,453,135.00,1.00
94,1.41,514,657,135.00,1.00
95,5.83,547,440,30.96,1.90
96,1.41,680,340,135.00,1.00
97,1.41,682,341,135.00,1.00
98,11.40,654,425,142.13,1.94
99,15.81,576,389,55.30,2.12
100,2.24,430,681,153.43,1.00
101,3.61,385,717,123.69,1.79
102,2.83,546,470,135.00,1.41
103,7.28,312,740,15.95,1.94
104,6.40,531,580,51.34,1.94
105,2.83,526,585,45.00,1.41
106,10.63,551,653,48.81,2.00
107,21.10,548,403,121.43,2.11
108,1.41,429,689,135.00,1.00
109,4.24,420,702,45.00,1.41
110,7.07,572,567,45.00,1.41
111,5.66,564,575,45.00,1.41
112,2.24,440,447,153.43,1.00
113,19.24,495,678,152.10,2.13
114,3.61,536,420,146.31,1.79
115,15.30,564,369,11.31,1.99
116,7.21,571,328,56.31,2.00
117,5.39,592,587,21.80,1.90
118,10.77,577,592,21.80,1.90
119,6.40,520,646,51.34,1.94
120,2.83,518,649,45.00,1.41
121,3.61,430,456,56.31,1.79
122,4.12,535,422,165.96,1.00
123,1.41,629,434,135.00,1.00
124,5.39,606,449,158.20,1.94
125,5.39,488,667,68.20,1.94
126,5.00,599,412,143.13,1.79
127,5.00,607,417,143.13,1.79
128,10.20,584,336,78.69,1.96
129,4.24,703,335,135.00,1.41
130,9.49,330,747,71.57,1.96
131,4.12,329,749,104.04,1.00
132,13.34,589,548,167.01,2.06
133,5.83,429,696,30.96,1.79
134,1.41,423,698,135.00,1.00
135,2.24,420,699,153.43,1.00
