 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,3.16,44,449,161.57,1.00
2,7.62,38,13,113.20,1.94
3,16.28,15,15,132.51,2.06
4,1.41,172,643,135.00,1.00
5,5.66,610,476,135.00,1.41
6,5.39,1007,761,21.80,1.90
7,10.05,881,588,95.71,1.00
8,6.08,1166,409,170.54,1.00
9,9.06,728,544,96.34,1.00
10,6.40,703,359,38.66,1.94
11,1.41,809,552,135.00,1.00
12,12.17,1049,618,99.46,1.99
13,5.10,1266,535,101.31,1.00
14,1.41,888,334,135.00,1.00
15,3.61,1087,724,33.69,1.79
16,5.39,310,517,68.20,1.90
17,6.71,638,401,26.57,1.79
18,12.08,529,228,65.56,2.04
19,1.41,611,538,135.00,1.00
20,3.61,907,652,56.31,1.79
21,6.40,698,462,128.66,2.00
22,12.04,1196,318,131.63,2.05
23,5.39,1166,702,158.20,1.90
24,4.12,647,256,104.04,1.00
25,9.22,685,149,130.60,2.00
26,6.40,892,679,51.34,1.94
27,6.32,753,272,71.57,1.96
28,4.47,859,412,26.57,1.90
29,2.24,912,310,116.57,1.00
30,5.00,1279,635,143.13,1.94
31,7.62,962,641,23.20,1.94
32,3.61,779,514,56.31,1.79
33,18.44,545,512,102.53,2.05
34,3.16,1311,573,161.57,1.00
35,8.06,928,413,150.26,2.06
36,2.83,938,419,135.00,1.41
37,11.18,1281,560,153.43,2.10
38,12.04,1190,540,94.76,1.00
39,10.63,1137,550,138.81,2.00
40,1.41,1082,341,135.00,1.00
41,6.32,1062,347,18.43,1.90
42,3.16,1014,644,161.57,1.00
43,10.44,620,273,16.70,1.94
44,7.28,1155,328,15.95,1.94
45,21.19,991,628,70.71,2.11
46,5.10,1108,427,168.69,1.00
47,4.24,786,362,135.00,1.41
48,12.73,1111,633,45.00,1.41
49,4.24,1106,638,45.00,1.41
50,3.61,618,221,146.31,1.79
51,3.16,1115,716,161.57,1.00
52,7.81,826,503,129.81,1.94
53,3.61,636,241,123.69,1.79
54,3.61,984,683,146.31,1.79
55,7.07,1029,828,171.87,1.00
56,11.18,1152,674,63.43,2.04
