 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
173,13.60,425,551,107.10,1.96
174,4.47,428,566,116.57,1.90
175,12.21,191,903,55.01,2.06
176,12.81,826,529,128.66,2.00
177,9.43,1379,944,57.99,2.06
178,4.47,235,718,26.57,1.79
179,4.47,222,723,26.57,1.79
180,20.02,1126,620,92.86,1.00
181,4.47,1081,580,116.57,1.79
182,9.49,1199,313,161.57,1.94
183,18.97,883,720,161.57,2.11
184,1.41,71,731,135.00,1.00
185,5.39,462,800,68.20,1.90
186,12.08,668,685,114.44,2.13
187,9.22,1655,372,40.60,2.00
188,1.41,878,644,135.00,1.00
189,5.00,892,651,143.13,1.79
190,10.20,178,487,101.31,1.97
191,5.83,929,628,30.96,1.79
192,13.42,915,635,26.57,1.79
193,13.42,812,299,153.43,2.13
194,7.21,1346,685,123.69,2.00
195,8.94,601,668,63.43,2.04
196,9.85,1286,739,156.04,1.90
197,7.21,1164,162,33.69,2.06
198,5.83,330,434,149.04,1.90
199,9.22,1051,809,102.53,1.97
200,12.04,867,1087,48.37,2.06
201,10.30,861,334,119.05,1.79
202,8.60,1256,621,125.54,2.00
203,6.32,360,542,161.57,1.94
204,3.16,895,884,161.57,1.00
205,11.40,928,315,105.26,1.94
206,12.65,972,784,18.43,1.94
207,2.24,966,784,153.43,1.00
208,4.12,351,816,165.96,1.00
209,7.07,1005,681,135.00,1.41
210,4.47,893,491,26.57,1.79
211,5.00,706,130,126.87,1.94
212,8.54,1311,930,159.44,1.90
213,8.25,638,536,104.04,1.98
214,21.40,732,211,52.59,2.00
215,1.41,7,701,135.00,1.00
216,1.41,13,704,135.00,1.00
217,12.08,843,1053,24.44,2.04
218,1.41,465,304,135.00,1.00
219,1.41,565,169,135.00,1.00
220,6.08,576,982,99.46,1.00
221,21.93,352,533,133.15,2.07
222,6.40,792,686,51.34,1.94
223,1.41,1053,699,135.00,1.00
224,3.61,1188,592,33.69,1.79
225,22.14,1275,709,18.43,2.11
226,6.32,23,685,161.57,1.96
227,7.07,601,535,98.13,1.00
228,2.83,413,678,135.00,1.41
229,3.16,870,713,161.57,1.00
230,3.61,885,717,146.31,1.79
231,9.85,534,683,113.96,2.10
232,5.39,1475,979,111.80,1.90
233,10.82,806,623,33.69,1.94
234,21.21,326,563,81.87,1.99
235,21.10,168,620,58.57,2.11
236,10.00,1347,719,53.13,2.00
237,10.77,835,620,21.80,2.04
238,14.21,874,511,129.29,2.00
239,20.25,1361,451,32.91,2.12
240,6.40,1551,668,51.34,2.00
241,7.81,1319,695,50.19,2.00
242,5.00,1189,546,143.13,1.79
243,7.21,1209,244,33.69,1.94
