Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
2,27.556,18,105,0,41,104,0,23.022,24.010,255,255
2,25.485,5,77,0,9,100,0,23.345,23.513,255,255
2,16.899,9,100,0,12,114,0,14.318,11.843,255,255
2,11.485,12,114,0,18,105,0,10.817,6.771,255,255
2,11.071,9,100,0,18,105,0,10.296,7.263,255,255
7,33.556,11,636,0,11,636,0,0.000,28.729,255,255
9,32.042,13,235,0,14,212,0,23.022,28.958,255,255
9,27.213,13,235,0,28,256,0,25.807,24.421,255,255
9,24.728,13,235,0,17,215,0,20.396,20.831,255,255
9,4.243,14,212,0,17,215,0,4.243,0.000,0,0
19,18.728,46,279,0,59,282,0,13.342,15.841,255,255
19,17.728,57,275,0,59,282,0,7.280,12.338,255,255
19,17.243,42,278,0,46,279,0,4.123,14.334,255,255
19,7.828,57,275,0,59,282,0,7.280,5.162,255,255
19,4.414,42,278,0,46,279,0,4.123,1.000,255,255
21,14.071,46,713,0,46,713,0,0.000,11.535,255,255
28,246.321,757,1021,0,787,842,0,181.497,229.747,255,255
28,134.569,117,708,0,180,613,0,113.991,125.736,255,255
28,103.870,559,965,0,611,1006,0,66.219,96.685,255,255
28,87.355,548,366,0,569,443,0,79.812,79.722,255,255
28,85.284,685,763,0,704,687,0,78.339,79.111,255,255
28,84.556,503,601,0,583,598,0,80.056,79.849,255,255
28,83.669,786,754,0,821,686,0,76.479,76.205,255,255
28,83.113,670,758,0,686,684,0,75.710,75.424,255,255
28,82.527,165,558,0,231,588,0,72.498,75.745,255,255
28,78.941,632,445,0,664,506,0,68.884,72.816,255,255
28,76.527,1004,667,0,1028,733,0,70.228,68.256,255,255
28,74.770,698,553,0,756,563,0,58.856,68.481,255,255
28,74.184,245,723,0,302,690,0,65.863,68.048,255,255
28,73.184,493,649,0,551,634,0,59.908,65.981,255,255
28,72.912,586,765,0,637,722,0,66.708,66.920,255,255
28,69.275,848,731,0,869,791,0,63.569,63.144,255,255
28,67.314,231,603,0,294,604,0,63.008,62.917,255,255
28,66.799,656,640,0,715,636,0,59.135,61.624,255,255
28,64.971,569,443,0,581,503,0,61.188,58.717,255,255
28,64.692,598,686,0,655,685,0,57.009,56.386,255,255
28,63.870,739,846,0,760,796,0,54.231,56.804,255,255
28,60.770,734,719,0,765,706,0,33.615,53.637,255,255
28,59.456,934,808,0,946,860,0,53.367,53.336,255,255
28,59.355,842,838,0,869,791,0,54.203,52.954,255,255
28,58.971,626,499,0,632,445,0,54.332,54.695,255,255
28,58.355,582,954,0,623,924,0,50.804,54.382,255,255
28,56.789,869,791,0,912,760,0,53.009,49.274,255,255
28,56.627,520,669,0,534,719,0,51.923,52.292,255,255
28,56.627,520,448,0,569,443,0,49.254,50.937,255,255
28,56.556,180,613,0,231,603,0,51.971,51.950,255,255
28,56.527,231,588,0,278,573,0,49.336,54.118,255,255
28,54.799,897,858,0,946,860,0,49.041,50.500,255,255
28,54.456,551,668,0,561,715,0,48.052,49.470,255,255
28,53.941,574,366,0,618,390,0,50.120,48.884,255,255
28,53.799,437,527,0,484,518,0,47.854,49.369,255,255
