 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,44,24,0,40,657,27.80,12,1,108.60
2,1,0,1,0,0,2.00,0,0,2.00
3,0,0,1,0,0,0.00,0,0,0.00
4,3,1,0,1,0,15.74,0,0,18.90
5,0,0,1,0,0,0.00,0,0,0.00
6,3,1,0,1,0,9.71,0,0,16.90
7,7,3,0,3,36,16.07,0,0,26.31
8,1,0,1,0,0,6.00,0,0,6.00
9,1,0,1,0,0,1.00,0,0,1.00
10,1,0,1,0,0,1.00,0,0,1.00
11,0,0,1,0,0,0.00,0,0,0.00
12,1,0,1,0,0,36.80,0,0,36.80
13,1,0,1,0,0,11.24,0,0,11.24
14,3,1,0,3,0,15.99,0,0,35.73
15,1,0,1,0,0,4.83,0,0,4.83
16,1,0,1,0,0,17.07,0,0,17.07
17,3,1,0,3,0,19.57,0,0,33.97
18,24,12,0,26,148,15.11,4,1,38.14
19,663,368,0,727,9388,26.02,199,6,128.10
20,1,0,1,0,0,1.41,0,0,1.41
21,1,0,1,0,0,31.80,0,0,31.80
22,1,0,1,0,0,4.41,0,0,4.41
23,1,0,1,0,0,33.31,0,0,33.31
24,5,2,0,4,17,32.34,0,0,72.94
25,1,0,1,0,0,9.24,0,0,9.24
26,1,0,1,0,0,6.83,0,0,6.83
27,1,0,1,0,0,65.11,0,0,65.11
28,1,0,1,0,0,10.07,0,0,10.07
29,1,0,1,0,0,2.41,0,0,2.41
30,25,13,0,23,150,11.91,5,0,38.04
31,1,0,1,0,0,19.24,0,0,19.24
32,8,4,0,10,88,19.38,1,1,27.31
33,1,0,1,0,0,4.24,0,0,4.24
34,1,0,1,0,0,27.07,0,0,27.07
35,41,20,0,43,741,31.34,3,0,97.56
36,5,2,0,2,56,56.24,0,0,76.98
37,1,0,1,0,0,16.24,0,0,16.24
38,1,0,1,0,0,13.66,0,0,13.66
39,1,0,1,0,0,7.66,0,0,7.66
40,1,0,1,0,0,3.41,0,0,3.41
41,3,1,0,1,0,9.79,0,0,10.90
42,1,0,1,0,0,25.49,0,0,25.49
43,1,0,1,0,0,5.83,0,0,5.83
44,1,0,1,0,0,2.41,0,0,2.41
45,1,0,1,0,0,7.66,0,0,7.66
46,1,0,1,0,0,7.24,0,0,7.24
47,1,0,1,0,0,23.56,0,0,23.56
48,1,0,1,0,0,10.24,0,0,10.24
49,1,0,1,0,0,11.66,0,0,11.66
50,1,0,1,0,0,4.00,0,0,4.00
51,1,0,1,0,0,3.41,0,0,3.41
52,3,1,0,1,0,12.99,0,0,29.14
53,1,0,1,0,0,7.41,0,0,7.41
54,184,104,0,203,2793,25.99,61,3,214.72
