 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,1,0,0,5.24,0,0,5.24
2,1,0,1,0,0,9.49,0,0,9.49
3,1,0,1,0,0,4.83,0,0,4.83
4,1,0,1,0,0,17.07,0,0,17.07
5,1932,1109,0,2186,29219,24.53,700,27,298.84
6,1,0,1,0,0,5.00,0,0,5.00
7,1,0,1,0,0,3.83,0,0,3.83
8,1,0,1,0,0,5.24,0,0,5.24
9,1,0,1,0,0,9.24,0,0,9.24
10,1,0,1,0,0,1.00,0,0,1.00
11,1,0,1,0,0,11.90,0,0,11.90
12,4,2,0,4,22,20.85,0,0,39.70
13,1,0,1,0,0,9.07,0,0,9.07
14,1,0,1,0,0,14.73,0,0,14.73
15,1,0,1,0,0,20.14,0,0,20.14
16,1,0,1,0,0,13.24,0,0,13.24
17,1,0,1,0,0,1.41,0,0,1.41
18,1,0,1,0,0,2.41,0,0,2.41
19,1,0,1,0,0,10.07,0,0,10.07
20,1,0,1,0,0,2.41,0,0,2.41
21,1,0,1,0,0,19.31,0,0,19.31
22,1,0,1,0,0,11.49,0,0,11.49
23,1,0,1,0,0,1.41,0,0,1.41
24,1,0,1,0,0,11.66,0,0,11.66
25,1,0,1,0,0,41.38,0,0,41.38
26,1,0,1,0,0,6.24,0,0,6.24
27,5,2,0,2,19,14.49,0,0,22.90
28,0,0,1,0,0,0.00,0,0,0.00
29,1,0,1,0,0,12.31,0,0,12.31
30,1,0,1,0,0,1.41,0,0,1.41
31,0,0,1,0,0,0.00,0,0,0.00
32,1,0,1,0,0,3.83,0,0,3.83
33,0,0,1,0,0,0.00,0,0,0.00
34,1,0,1,0,0,6.24,0,0,6.24
35,1,0,1,0,0,1.00,0,0,1.00
36,1,0,1,0,0,1.00,0,0,1.00
37,1,0,1,0,0,17.56,0,0,17.56
38,1,0,1,0,0,11.07,0,0,11.07
39,1,0,1,0,0,24.14,0,0,24.14
40,1,0,1,0,0,19.56,0,0,19.56
41,1,0,1,0,0,27.49,0,0,27.49
42,1,0,1,0,0,9.24,0,0,9.24
43,1,0,1,0,0,22.24,0,0,22.24
44,1,0,1,0,0,3.83,0,0,3.83
45,1,0,1,0,0,73.08,0,0,73.08
46,1,0,1,0,0,11.24,0,0,11.24
47,1,0,1,0,0,3.83,0,0,3.83
48,1,0,1,0,0,24.73,0,0,24.73
49,16,8,0,14,142,19.74,3,0,59.87
50,1,0,1,0,0,11.24,0,0,11.24
51,0,0,1,0,0,0.00,0,0,0.00
52,1,0,1,0,0,4.00,0,0,4.00
53,1,0,1,0,0,1.00,0,0,1.00
54,1,0,1,0,0,15.83,0,0,15.83
55,1,0,1,0,0,8.24,0,0,8.24
56,1,0,1,0,0,20.97,0,0,20.97
57,1,0,1,0,0,1.41,0,0,1.41
58,1,0,1,0,0,9.49,0,0,9.49
59,1,0,1,0,0,1.00,0,0,1.00
60,1,0,1,0,0,13.90,0,0,13.90
61,1,0,1,0,0,11.66,0,0,11.66
62,1,0,1,0,0,5.24,0,0,5.24
63,1,0,1,0,0,5.24,0,0,5.24
64,1,0,1,0,0,98.70,0,0,98.70
65,1,0,1,0,0,4.83,0,0,4.83
66,1,0,1,0,0,2.41,0,0,2.41
67,1,0,1,0,0,8.24,0,0,8.24
68,7,3,0,9,59,21.02,0,0,60.73
69,1,0,1,0,0,9.24,0,0,9.24
70,1,0,1,0,0,5.83,0,0,5.83
71,1,0,1,0,0,5.24,0,0,5.24
72,1,0,1,0,0,10.66,0,0,10.66
73,0,0,1,0,0,0.00,0,0,0.00
74,1,0,1,0,0,11.07,0,0,11.07
75,3,1,0,3,0,38.36,0,0,79.60
