 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,1,0,0,3.41,0,0,3.41
2,1,0,1,0,0,5.41,0,0,5.41
3,31,16,0,27,359,24.07,7,0,95.63
4,5,2,0,4,4,9.53,0,0,19.90
5,1,0,1,0,0,4.41,0,0,4.41
6,1,0,1,0,0,37.90,0,0,37.90
7,1190,672,0,1309,17632,25.82,378,19,282.87
8,1,0,1,0,0,1.41,0,0,1.41
9,1,0,1,0,0,2.41,0,0,2.41
10,1,0,1,0,0,3.41,0,0,3.41
11,1,0,1,0,0,3.00,0,0,3.00
12,0,0,1,0,0,0.00,0,0,0.00
13,1,0,1,0,0,79.87,0,0,79.87
14,0,0,1,0,0,0.00,0,0,0.00
15,4,2,0,2,14,9.30,0,0,16.90
16,1,0,1,0,0,3.41,0,0,3.41
17,1,0,1,0,0,3.00,0,0,3.00
18,1,0,1,0,0,10.66,0,0,10.66
19,1,0,1,0,0,24.56,0,0,24.56
20,1,0,1,0,0,26.07,0,0,26.07
21,1,0,1,0,0,3.00,0,0,3.00
22,1,0,1,0,0,39.28,0,0,39.28
23,1,0,1,0,0,4.83,0,0,4.83
24,1,0,1,0,0,5.24,0,0,5.24
25,1,0,1,0,0,30.80,0,0,30.80
26,1,0,1,0,0,32.63,0,0,32.63
27,1,0,1,0,0,35.38,0,0,35.38
28,1,0,1,0,0,4.41,0,0,4.41
29,1,0,1,0,0,2.00,0,0,2.00
30,1,0,1,0,0,35.56,0,0,35.56
31,1,0,1,0,0,12.66,0,0,12.66
32,1,0,1,0,0,10.07,0,0,10.07
33,3,1,0,1,0,27.00,0,0,38.63
34,1,0,1,0,0,7.00,0,0,7.00
35,1,0,1,0,0,13.90,0,0,13.90
36,1,0,1,0,0,30.97,0,0,30.97
37,1,0,1,0,0,8.41,0,0,8.41
38,1,0,1,0,0,16.07,0,0,16.07
39,1,0,1,0,0,6.00,0,0,6.00
40,1,0,1,0,0,39.94,0,0,39.94
41,0,0,1,0,0,0.00,0,0,0.00
42,3,1,0,1,0,52.29,0,0,101.43
43,1,0,1,0,0,3.41,0,0,3.41
44,1,0,1,0,0,4.24,0,0,4.24
45,1,0,1,0,0,34.63,0,0,34.63
46,1,0,1,0,0,10.07,0,0,10.07
47,1,0,1,0,0,18.97,0,0,18.97
48,1,0,1,0,0,10.83,0,0,10.83
49,1,0,1,0,0,2.00,0,0,2.00
50,1,0,1,0,0,9.83,0,0,9.83
51,3,1,0,1,0,39.39,0,0,55.73
52,1,0,1,0,0,10.49,0,0,10.49
53,1,0,1,0,0,2.00,0,0,2.00
54,1,0,1,0,0,35.56,0,0,35.56
55,1,0,1,0,0,10.24,0,0,10.24
56,1,0,1,0,0,19.49,0,0,19.49
57,1,0,1,0,0,5.83,0,0,5.83
58,1,0,1,0,0,3.41,0,0,3.41
59,1,0,1,0,0,13.31,0,0,13.31
60,1,0,1,0,0,1.00,0,0,1.00
61,1,0,1,0,0,12.31,0,0,12.31
62,1,0,1,0,0,2.41,0,0,2.41
63,1,0,1,0,0,19.49,0,0,19.49
64,1,0,1,0,0,10.24,0,0,10.24
65,1,0,1,0,0,3.83,0,0,3.83
66,1,0,1,0,0,11.41,0,0,11.41
67,1,0,1,0,0,8.66,0,0,8.66
68,1,0,1,0,0,3.00,0,0,3.00
69,1,0,1,0,0,17.56,0,0,17.56
70,1,0,1,0,0,6.83,0,0,6.83
71,1,0,1,0,0,8.41,0,0,8.41
72,1,0,1,0,0,2.41,0,0,2.41
73,1,0,1,0,0,13.49,0,0,13.49
74,1,0,1,0,0,1.00,0,0,1.00
75,1,0,1,0,0,5.41,0,0,5.41
76,1,0,1,0,0,7.66,0,0,7.66
77,1,0,1,0,0,14.66,0,0,14.66
78,1,0,1,0,0,11.41,0,0,11.41
79,1,0,1,0,0,6.41,0,0,6.41
80,0,0,1,0,0,0.00,0,0,0.00
81,1,0,1,0,0,1.00,0,0,1.00
82,1,0,1,0,0,16.90,0,0,16.90
83,1,0,1,0,0,62.21,0,0,62.21
84,1,0,1,0,0,8.83,0,0,8.83
85,1,0,1,0,0,1.00,0,0,1.00
86,1,0,1,0,0,15.41,0,0,15.41
87,1,0,1,0,0,7.00,0,0,7.00
88,1,0,1,0,0,3.83,0,0,3.83
89,1,0,1,0,0,51.31,0,0,51.31
90,0,0,1,0,0,0.00,0,0,0.00
91,73,39,0,75,676,19.92,16,0,136.95
92,1,0,1,0,0,82.74,0,0,82.74
93,1,0,1,0,0,12.49,0,0,12.49
94,0,0,1,0,0,0.00,0,0,0.00
95,1,0,1,0,0,4.41,0,0,4.41
96,1,0,1,0,0,1.41,0,0,1.41
97,1,0,1,0,0,33.56,0,0,33.56
98,1,0,1,0,0,4.00,0,0,4.00
99,1,0,1,0,0,7.83,0,0,7.83
100,1,0,1,0,0,38.56,0,0,38.56
101,1,0,1,0,0,42.36,0,0,42.36
102,0,0,1,0,0,0.00,0,0,0.00
103,1,0,1,0,0,11.66,0,0,11.66
104,1,0,1,0,0,5.24,0,0,5.24
105,1,0,1,0,0,1.41,0,0,1.41
106,1,0,1,0,0,4.24,0,0,4.24
107,1,0,1,0,0,1.41,0,0,1.41
108,0,0,1,0,0,0.00,0,0,0.00
109,1,0,1,0,0,14.07,0,0,14.07
110,1,0,1,0,0,19.24,0,0,19.24
111,1,0,1,0,0,16.41,0,0,16.41
112,1,0,1,0,0,18.73,0,0,18.73
113,1,0,1,0,0,39.38,0,0,39.38
114,1,0,1,0,0,52.04,0,0,52.04
115,1,0,1,0,0,2.00,0,0,2.00
116,1,0,1,0,0,56.38,0,0,56.38
117,1,0,1,0,0,27.97,0,0,27.97
118,1,0,1,0,0,7.83,0,0,7.83
119,1,0,1,0,0,8.24,0,0,8.24
120,1,0,1,0,0,17.66,0,0,17.66
121,1,0,1,0,0,1.41,0,0,1.41
122,1,0,1,0,0,3.41,0,0,3.41
123,1,0,1,0,0,26.56,0,0,26.56
124,1,0,1,0,0,12.49,0,0,12.49
125,1,0,1,0,0,17.31,0,0,17.31
126,1,0,1,0,0,20.97,0,0,20.97
127,1,0,1,0,0,3.41,0,0,3.41
128,1,0,1,0,0,7.41,0,0,7.41
129,1,0,1,0,0,5.24,0,0,5.24
130,1,0,1,0,0,6.24,0,0,6.24
131,1,0,1,0,0,11.07,0,0,11.07
132,1,0,1,0,0,45.14,0,0,45.14
133,0,0,1,0,0,0.00,0,0,0.00
134,1,0,1,0,0,5.83,0,0,5.83
135,1,0,1,0,0,37.63,0,0,37.63
136,0,0,1,0,0,0.00,0,0,0.00
137,1,0,1,0,0,34.83,0,0,34.83
138,1,0,1,0,0,16.31,0,0,16.31
139,11,5,0,11,88,20.63,1,0,37.21
140,1,0,1,0,0,2.83,0,0,2.83
141,1,0,1,0,0,12.90,0,0,12.90
142,1,0,1,0,0,9.83,0,0,9.83
143,1,0,1,0,0,1.41,0,0,1.41
144,1,0,1,0,0,1.41,0,0,1.41
145,1,0,1,0,0,7.66,0,0,7.66
146,1,0,1,0,0,19.90,0,0,19.90
147,1,0,1,0,0,5.00,0,0,5.00
148,15,8,0,12,209,23.77,4,0,49.38
149,0,0,1,0,0,0.00,0,0,0.00
150,1,0,1,0,0,12.49,0,0,12.49
151,1,0,1,0,0,93.08,0,0,93.08
152,1,0,1,0,0,19.24,0,0,19.24
153,0,0,1,0,0,0.00,0,0,0.00
154,1,0,1,0,0,3.00,0,0,3.00
155,1,0,1,0,0,6.24,0,0,6.24
156,1,0,1,0,0,10.07,0,0,10.07
157,1,0,1,0,0,3.83,0,0,3.83
158,1,0,1,0,0,1.00,0,0,1.00
159,1,0,1,0,0,31.97,0,0,31.97
160,1,0,1,0,0,35.21,0,0,35.21
161,1,0,1,0,0,5.00,0,0,5.00
162,1,0,1,0,0,21.97,0,0,21.97
163,1,0,1,0,0,7.83,0,0,7.83
164,1,0,1,0,0,9.00,0,0,9.00
165,1,0,1,0,0,32.80,0,0,32.80
166,1,0,1,0,0,39.80,0,0,39.80
167,1,0,1,0,0,8.66,0,0,8.66
168,1,0,1,0,0,1.00,0,0,1.00
169,1,0,1,0,0,12.24,0,0,12.24
170,1,0,1,0,0,4.00,0,0,4.00
171,1,0,1,0,0,3.41,0,0,3.41
172,1,0,1,0,0,19.73,0,0,19.73
173,1,0,1,0,0,23.49,0,0,23.49
174,1,0,1,0,0,28.38,0,0,28.38
175,1,0,1,0,0,5.83,0,0,5.83
176,3,1,0,3,0,25.98,0,0,39.63
177,1,0,1,0,0,19.24,0,0,19.24
178,1,0,1,0,0,14.00,0,0,14.00
179,1,0,1,0,0,13.66,0,0,13.66
180,1,0,1,0,0,7.24,0,0,7.24
181,1,0,1,0,0,5.24,0,0,5.24
182,1,0,1,0,0,50.94,0,0,50.94
183,0,0,1,0,0,0.00,0,0,0.00
184,1,0,1,0,0,11.66,0,0,11.66
185,0,0,1,0,0,0.00,0,0,0.00
186,0,0,1,0,0,0.00,0,0,0.00
187,1,0,1,0,0,2.83,0,0,2.83
188,1,0,1,0,0,8.24,0,0,8.24
189,1,0,1,0,0,3.41,0,0,3.41
190,1,0,1,0,0,5.83,0,0,5.83
191,1,0,1,0,0,5.41,0,0,5.41
192,1,0,1,0,0,8.00,0,0,8.00
193,1,0,1,0,0,13.24,0,0,13.24
194,1,0,1,0,0,3.41,0,0,3.41
195,1,0,1,0,0,30.31,0,0,30.31
196,1,0,1,0,0,16.73,0,0,16.73
197,1,0,1,0,0,8.24,0,0,8.24
198,1,0,1,0,0,70.04,0,0,70.04
199,1,0,1,0,0,14.49,0,0,14.49
200,1,0,1,0,0,15.66,0,0,15.66
201,1,0,1,0,0,6.24,0,0,6.24
202,1,0,1,0,0,14.07,0,0,14.07
203,1,0,1,0,0,5.41,0,0,5.41
204,1,0,1,0,0,3.00,0,0,3.00
205,1,0,1,0,0,6.66,0,0,6.66
206,3,1,0,1,0,15.93,0,0,22.14
207,0,0,1,0,0,0.00,0,0,0.00
208,1,0,1,0,0,21.31,0,0,21.31
209,1,0,1,0,0,8.66,0,0,8.66
210,1,0,1,0,0,8.66,0,0,8.66
211,1,0,1,0,0,13.07,0,0,13.07
212,1,0,1,0,0,10.24,0,0,10.24
213,1,0,1,0,0,3.83,0,0,3.83
214,1,0,1,0,0,2.00,0,0,2.00
215,1,0,1,0,0,3.83,0,0,3.83
216,1,0,1,0,0,14.90,0,0,14.90
217,3,1,0,3,0,35.80,0,0,80.25
218,1,0,1,0,0,8.66,0,0,8.66
219,3,1,0,3,0,22.35,0,0,44.38
220,1,0,1,0,0,66.94,0,0,66.94
221,3,1,0,3,0,37.94,0,0,72.43
222,3,1,0,3,0,37.86,0,0,89.50
223,1,0,1,0,0,32.21,0,0,32.21
224,1,0,1,0,0,9.07,0,0,9.07
225,1,0,1,0,0,41.53,0,0,41.53
226,1,0,1,0,0,54.04,0,0,54.04
