 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,1,0,0,14.24,0,0,14.24
2,11,5,0,11,70,14.96,2,0,27.56
3,3,1,0,3,0,21.79,0,0,39.21
4,3,1,0,3,0,12.21,0,0,17.31
5,0,0,1,0,0,0.00,0,0,0.00
6,1,0,1,0,0,2.00,0,0,2.00
7,2,1,0,1,29,23.90,0,0,33.56
8,0,0,1,0,0,0.00,0,0,0.00
9,9,4,0,12,62,19.99,1,0,32.04
10,1,0,1,0,0,30.14,0,0,30.14
11,1,0,1,0,0,6.24,0,0,6.24
12,3,1,0,1,0,19.71,0,0,28.66
13,1,0,1,0,0,3.83,0,0,3.83
14,0,0,1,0,0,0.00,0,0,0.00
15,1,0,1,0,0,16.73,0,0,16.73
16,0,0,1,0,0,0.00,0,0,0.00
17,3,1,0,1,0,5.50,0,0,9.66
18,1,0,1,0,0,55.04,0,0,55.04
19,8,4,0,10,47,10.33,2,0,18.73
20,1,0,1,0,0,5.24,0,0,5.24
21,2,1,0,3,12,10.16,0,0,14.07
22,1,0,1,0,0,3.83,0,0,3.83
23,1,0,1,0,0,2.41,0,0,2.41
24,1,0,1,0,0,44.46,0,0,44.46
25,1,0,1,0,0,16.07,0,0,16.07
26,1,0,1,0,0,6.24,0,0,6.24
27,1,0,1,0,0,21.90,0,0,21.90
28,635,356,0,688,8397,22.78,197,9,246.32
29,1,0,1,0,0,2.83,0,0,2.83
30,1,0,1,0,0,6.41,0,0,6.41
31,1,0,1,0,0,7.83,0,0,7.83
32,3,1,0,1,0,58.51,0,0,100.28
33,1,0,1,0,0,9.24,0,0,9.24
34,1,0,1,0,0,7.83,0,0,7.83
35,1,0,1,0,0,7.24,0,0,7.24
36,1,0,1,0,0,23.73,0,0,23.73
37,8,3,0,10,6,12.37,0,0,27.90
38,1,0,1,0,0,10.24,0,0,10.24
39,1,0,1,0,0,1.41,0,0,1.41
40,8,4,0,6,53,11.26,1,0,29.56
41,1,0,1,0,0,9.83,0,0,9.83
42,1,0,1,0,0,25.31,0,0,25.31
43,1,0,1,0,0,11.66,0,0,11.66
44,1,0,1,0,0,20.73,0,0,20.73
45,1,0,1,0,0,7.66,0,0,7.66
46,1,0,1,0,0,9.66,0,0,9.66
47,0,0,1,0,0,0.00,0,0,0.00
48,1,0,1,0,0,6.66,0,0,6.66
49,1,0,1,0,0,13.83,0,0,13.83
50,8,4,0,10,49,14.33,2,0,30.90
51,1,0,1,0,0,4.00,0,0,4.00
52,1,0,1,0,0,9.24,0,0,9.24
53,11,5,0,7,49,20.06,0,0,34.21
54,1,0,1,0,0,3.41,0,0,3.41
55,1,0,1,0,0,2.41,0,0,2.41
56,0,0,1,0,0,0.00,0,0,0.00
57,19,9,0,25,80,11.35,2,0,31.21
58,3,1,0,1,0,13.46,0,0,24.31
59,1,0,1,0,0,7.24,0,0,7.24
60,1,0,1,0,0,1.00,0,0,1.00
61,5,2,0,2,1,17.69,0,0,39.14
62,5,2,0,4,3,14.04,0,0,32.97
63,1,0,1,0,0,2.41,0,0,2.41
64,1,0,1,0,0,28.56,0,0,28.56
65,8,4,0,6,31,7.29,1,0,18.90
66,1,0,1,0,0,10.41,0,0,10.41
67,1,0,1,0,0,7.66,0,0,7.66
68,1,0,1,0,0,14.24,0,0,14.24
69,0,0,1,0,0,0.00,0,0,0.00
70,11,6,0,10,50,15.51,3,0,72.01
71,1,0,1,0,0,9.41,0,0,9.41
72,1,0,1,0,0,7.41,0,0,7.41
73,1,0,1,0,0,2.83,0,0,2.83
74,1,0,1,0,0,53.49,0,0,53.49
75,6,3,0,5,23,10.85,0,0,21.90
76,1,0,1,0,0,21.83,0,0,21.83
77,1,0,1,0,0,23.97,0,0,23.97
78,1,0,1,0,0,10.66,0,0,10.66
79,1,0,1,0,0,27.66,0,0,27.66
80,1,0,1,0,0,15.66,0,0,15.66
81,1,0,1,0,0,3.83,0,0,3.83
82,1,0,1,0,0,7.83,0,0,7.83
83,1,0,1,0,0,12.66,0,0,12.66
84,1,0,1,0,0,3.83,0,0,3.83
85,1,0,1,0,0,82.84,0,0,82.84
86,1,0,1,0,0,4.83,0,0,4.83
87,1,0,1,0,0,6.66,0,0,6.66
88,1,0,1,0,0,6.00,0,0,6.00
89,1,0,1,0,0,38.80,0,0,38.80
90,1,0,1,0,0,10.41,0,0,10.41
91,1,0,1,0,0,1.41,0,0,1.41
92,1,0,1,0,0,32.38,0,0,32.38
93,1,0,1,0,0,16.90,0,0,16.90
94,1,0,1,0,0,37.80,0,0,37.80
95,1,0,1,0,0,7.07,0,0,7.07
96,1,0,1,0,0,1.00,0,0,1.00
97,1,0,1,0,0,5.00,0,0,5.00
98,1,0,1,0,0,52.04,0,0,52.04
99,1,0,1,0,0,30.21,0,0,30.21
100,1,0,1,0,0,9.24,0,0,9.24
101,1,0,1,0,0,9.07,0,0,9.07
102,5,2,0,4,75,34.41,0,0,81.56
103,1,0,1,0,0,9.24,0,0,9.24
104,1,0,1,0,0,10.49,0,0,10.49
105,1,0,1,0,0,11.24,0,0,11.24
106,1,0,1,0,0,4.83,0,0,4.83
107,1,0,1,0,0,4.00,0,0,4.00
108,3,1,0,3,0,31.91,0,0,50.21
109,1,0,1,0,0,6.41,0,0,6.41
110,1,0,1,0,0,20.73,0,0,20.73
111,1,0,1,0,0,52.11,0,0,52.11
112,1,0,1,0,0,21.66,0,0,21.66
113,1,0,1,0,0,7.41,0,0,7.41
114,1,0,1,0,0,1.00,0,0,1.00
115,1,0,1,0,0,4.41,0,0,4.41
116,1,0,1,0,0,8.41,0,0,8.41
117,1,0,1,0,0,49.97,0,0,49.97
118,1,0,1,0,0,16.07,0,0,16.07
119,1,0,1,0,0,1.00,0,0,1.00
120,1,0,1,0,0,5.83,0,0,5.83
121,1,0,1,0,0,21.73,0,0,21.73
122,1,0,1,0,0,5.41,0,0,5.41
123,3,1,0,1,0,9.05,0,0,13.66
124,1,0,1,0,0,8.24,0,0,8.24
125,1,0,1,0,0,3.41,0,0,3.41
126,1,0,1,0,0,10.24,0,0,10.24
127,1,0,1,0,0,13.07,0,0,13.07
128,1,0,1,0,0,78.01,0,0,78.01
129,0,0,1,0,0,0.00,0,0,0.00
130,1,0,1,0,0,1.00,0,0,1.00
131,0,0,1,0,0,0.00,0,0,0.00
132,1,0,1,0,0,8.83,0,0,8.83
133,1,0,1,0,0,4.83,0,0,4.83
134,1,0,1,0,0,2.00,0,0,2.00
135,1,0,1,0,0,19.49,0,0,19.49
136,1,0,1,0,0,1.00,0,0,1.00
137,1,0,1,0,0,11.07,0,0,11.07
138,1,0,1,0,0,3.41,0,0,3.41
139,3,1,0,1,0,14.07,0,0,21.66
140,3,1,0,1,0,21.79,0,0,38.14
141,1,0,1,0,0,9.07,0,0,9.07
142,0,0,1,0,0,0.00,0,0,0.00
143,1,0,1,0,0,26.90,0,0,26.90
144,1,0,1,0,0,1.41,0,0,1.41
145,1,0,1,0,0,21.73,0,0,21.73
146,1,0,1,0,0,2.00,0,0,2.00
147,1,0,1,0,0,23.90,0,0,23.90
148,1,0,1,0,0,2.83,0,0,2.83
149,1,0,1,0,0,9.07,0,0,9.07
150,1,0,1,0,0,3.83,0,0,3.83
151,12,7,0,13,130,16.24,4,0,54.80
152,1,0,1,0,0,8.41,0,0,8.41
153,1,0,1,0,0,12.90,0,0,12.90
154,1,0,1,0,0,2.41,0,0,2.41
155,1,0,1,0,0,4.83,0,0,4.83
156,1,0,1,0,0,1.41,0,0,1.41
157,1,0,1,0,0,3.41,0,0,3.41
158,1,0,1,0,0,1.00,0,0,1.00
159,3,1,0,1,0,28.97,0,0,65.77
160,1,0,1,0,0,4.41,0,0,4.41
161,1,0,1,0,0,16.14,0,0,16.14
162,1,0,1,0,0,1.00,0,0,1.00
163,1,0,1,0,0,22.07,0,0,22.07
164,1,0,1,0,0,5.83,0,0,5.83
165,1,0,1,0,0,13.66,0,0,13.66
166,1,0,1,0,0,10.24,0,0,10.24
167,1,0,1,0,0,1.41,0,0,1.41
168,1,0,1,0,0,9.66,0,0,9.66
169,1,0,1,0,0,2.41,0,0,2.41
170,3,1,0,1,0,12.13,0,0,12.90
171,1,0,1,0,0,23.49,0,0,23.49
172,11,6,0,10,87,17.12,3,0,42.63
173,1,0,1,0,0,4.41,0,0,4.41
174,1,0,1,0,0,17.31,0,0,17.31
175,1,0,1,0,0,8.24,0,0,8.24
176,1,0,1,0,0,4.41,0,0,4.41
177,1,0,1,0,0,11.41,0,0,11.41
178,1,0,1,0,0,9.49,0,0,9.49
179,1,0,1,0,0,8.24,0,0,8.24
180,3,1,0,3,0,4.61,0,0,6.00
181,1,0,1,0,0,23.07,0,0,23.07
182,1,0,1,0,0,13.24,0,0,13.24
183,1,0,1,0,0,37.21,0,0,37.21
184,1,0,1,0,0,11.41,0,0,11.41
185,3,1,0,1,0,19.58,0,0,49.49
186,1,0,1,0,0,2.41,0,0,2.41
187,1,0,1,0,0,2.00,0,0,2.00
188,5,2,0,4,22,56.75,0,0,125.68
189,1,0,1,0,0,12.49,0,0,12.49
190,1,0,1,0,0,8.83,0,0,8.83
191,1,0,1,0,0,33.97,0,0,33.97
192,1,0,1,0,0,11.07,0,0,11.07
193,1,0,1,0,0,11.83,0,0,11.83
194,1,0,1,0,0,7.24,0,0,7.24
195,1,0,1,0,0,7.83,0,0,7.83
196,1,0,1,0,0,1.41,0,0,1.41
197,1,0,1,0,0,15.49,0,0,15.49
198,1,0,1,0,0,6.00,0,0,6.00
199,1,0,1,0,0,1.41,0,0,1.41
200,11,6,0,8,98,18.58,2,0,30.31
201,1,0,1,0,0,10.24,0,0,10.24
202,1,0,1,0,0,5.83,0,0,5.83
203,1,0,1,0,0,18.66,0,0,18.66
204,1,0,1,0,0,19.24,0,0,19.24
205,1,0,1,0,0,19.24,0,0,19.24
206,1,0,1,0,0,4.24,0,0,4.24
207,1,0,1,0,0,3.41,0,0,3.41
208,1,0,1,0,0,30.90,0,0,30.90
209,1,0,1,0,0,1.00,0,0,1.00
210,1,0,1,0,0,14.07,0,0,14.07
211,1,0,1,0,0,2.41,0,0,2.41
212,3,1,0,1,0,5.89,0,0,6.83
213,3,1,0,1,0,5.50,0,0,5.83
214,1,0,1,0,0,36.87,0,0,36.87
215,1,0,1,0,0,8.00,0,0,8.00
216,1,0,1,0,0,8.49,0,0,8.49
217,1,0,1,0,0,4.41,0,0,4.41
218,0,0,1,0,0,0.00,0,0,0.00
219,1,0,1,0,0,13.07,0,0,13.07
220,1,0,1,0,0,21.49,0,0,21.49
221,1,0,1,0,0,11.41,0,0,11.41
222,1,0,1,0,0,14.07,0,0,14.07
223,5,2,0,2,6,9.26,0,0,19.90
224,7,3,0,5,51,19.89,1,0,51.04
225,1,0,1,0,0,5.41,0,0,5.41
226,183,98,0,199,2855,26.82,47,3,213.20
227,1,0,1,0,0,10.07,0,0,10.07
228,1,0,1,0,0,14.83,0,0,14.83
229,1,0,1,0,0,1.41,0,0,1.41
230,1,0,1,0,0,12.31,0,0,12.31
231,1,0,1,0,0,5.41,0,0,5.41
232,1,0,1,0,0,11.07,0,0,11.07
233,1,0,1,0,0,5.24,0,0,5.24
234,1,0,1,0,0,2.41,0,0,2.41
235,1,0,1,0,0,11.66,0,0,11.66
236,1,0,1,0,0,14.24,0,0,14.24
237,1,0,1,0,0,13.49,0,0,13.49
238,1,0,1,0,0,28.07,0,0,28.07
239,1,0,1,0,0,1.00,0,0,1.00
240,1,0,1,0,0,3.41,0,0,3.41
241,1,0,1,0,0,18.24,0,0,18.24
242,1,0,1,0,0,5.41,0,0,5.41
243,0,0,1,0,0,0.00,0,0,0.00
244,0,0,1,0,0,0.00,0,0,0.00
245,1,0,1,0,0,53.04,0,0,53.04
246,1,0,1,0,0,43.28,0,0,43.28
247,1,0,1,0,0,16.73,0,0,16.73
248,0,0,1,0,0,0.00,0,0,0.00
249,1,0,1,0,0,35.14,0,0,35.14
250,9,4,0,10,135,34.79,0,0,89.43
251,1,0,1,0,0,20.90,0,0,20.90
252,1,0,1,0,0,17.31,0,0,17.31
253,1,0,1,0,0,1.00,0,0,1.00
254,5,2,0,2,13,13.73,0,0,25.24
255,3,1,0,1,0,10.74,0,0,13.49
256,1,0,1,0,0,4.41,0,0,4.41
257,1,0,1,0,0,30.80,0,0,30.80
258,1,0,1,0,0,12.07,0,0,12.07
259,1,0,1,0,0,3.83,0,0,3.83
260,1,0,1,0,0,1.41,0,0,1.41
261,1,0,1,0,0,13.90,0,0,13.90
262,1,0,1,0,0,136.50,0,0,136.50
263,1,0,1,0,0,4.83,0,0,4.83
264,1,0,1,0,0,21.49,0,0,21.49
265,1,0,1,0,0,5.00,0,0,5.00
266,1,0,1,0,0,11.24,0,0,11.24
267,1,0,1,0,0,1.00,0,0,1.00
268,1,0,1,0,0,6.66,0,0,6.66
269,3,1,0,3,0,56.24,0,0,129.50
270,1,0,1,0,0,2.00,0,0,2.00
271,1,0,1,0,0,1.41,0,0,1.41
272,1,0,1,0,0,88.98,0,0,88.98
273,1,0,1,0,0,9.24,0,0,9.24
274,1,0,1,0,0,7.24,0,0,7.24
275,3,1,0,3,0,72.01,0,0,137.33
276,1,0,1,0,0,8.07,0,0,8.07
277,1,0,1,0,0,18.14,0,0,18.14
278,3,1,0,3,0,12.63,0,0,20.07
279,3,1,0,1,0,74.98,0,0,150.34
280,0,0,1,0,0,0.00,0,0,0.00
