Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,168.669,384,701,0,395,856,0,155.390,160.758,255,255
1,156.723,1427,491,0,1447,600,0,110.820,148.738,255,255
1,155.811,1290,722,0,1331,860,0,143.962,144.448,255,255
1,129.539,1279,756,0,1319,862,0,113.296,120.242,255,255
1,121.456,621,619,0,735,603,0,115.117,115.875,255,255
1,120.125,1274,397,0,1372,345,0,110.941,111.777,255,255
1,119.983,1288,245,0,1390,287,0,110.309,112.405,255,255
1,119.296,975,163,0,1063,103,0,106.508,110.339,255,255
1,117.971,80,564,0,90,451,0,113.442,113.332,255,255
1,117.296,455,843,0,508,936,0,107.042,108.955,255,255
1,115.368,231,933,0,318,993,0,105.683,105.450,255,255
1,111.255,1084,658,0,1108,756,0,100.896,104.331,255,255
1,108.711,718,816,0,745,743,0,77.833,101.090,255,255
1,105.426,1428,782,0,1519,810,0,95.210,97.836,255,255
1,104.284,1149,426,0,1245,412,0,97.015,96.057,255,255
1,102.983,188,638,0,267,628,0,79.630,98.399,255,255
1,102.941,710,402,0,732,495,0,95.567,97.238,255,255
1,102.569,1427,491,0,1512,450,0,94.372,93.636,255,255
1,101.461,1182,355,0,1265,396,0,92.574,93.394,255,255
1,98.698,88,963,0,103,873,0,91.241,90.621,255,255
1,98.012,590,407,0,624,484,0,84.172,92.032,255,255
1,97.326,435,402,0,474,324,0,87.207,89.124,255,255
1,97.255,421,714,0,441,776,0,65.146,90.429,255,255
1,97.083,654,841,0,679,915,0,78.109,90.737,255,255
1,96.598,1044,958,0,1056,879,0,79.906,89.857,255,255
1,96.456,406,621,0,495,613,0,89.359,90.466,255,255
1,94.284,829,603,0,915,609,0,86.209,87.753,255,255
1,93.870,535,604,0,621,619,0,87.298,87.322,255,255
1,93.385,1323,1011,0,1411,1000,0,88.685,87.446,255,255
1,93.113,825,1121,0,908,1124,0,83.054,87.543,255,255
1,90.799,1360,430,0,1372,345,0,85.843,86.188,255,255
1,88.811,906,326,0,951,257,0,82.377,82.719,255,255
1,88.284,83,704,0,128,669,0,57.009,82.818,255,255
1,87.983,812,336,0,878,290,0,80.449,82.609,255,255
1,87.569,1158,693,0,1213,639,0,77.078,80.718,255,255
1,86.870,188,619,0,267,628,0,79.511,82.735,255,255
1,85.983,893,275,0,957,229,0,78.816,80.486,255,255
1,85.740,971,1034,0,1017,972,0,77.201,77.708,255,255
1,84.296,77,426,0,141,389,0,73.926,80.276,255,255
1,84.296,28,490,0,77,426,0,80.604,80.955,255,255
1,84.054,492,414,0,556,367,0,79.404,78.997,255,255
1,83.314,1416,144,0,1416,224,0,80.000,78.614,255,255
1,83.113,1303,609,0,1337,557,0,62.129,76.551,255,255
1,82.355,803,138,0,819,209,0,72.780,75.706,255,255
1,81.456,466,282,0,484,208,0,76.158,75.556,255,255
1,79.569,83,432,0,141,389,0,72.201,76.036,255,255
1,78.627,991,329,0,1063,345,0,73.756,73.041,255,255
1,78.598,128,669,0,188,638,0,67.535,71.848,255,255
1,78.355,90,451,0,158,466,0,69.635,73.807,255,255
1,77.770,1283,618,0,1308,680,0,66.851,71.926,255,255
1,77.698,1573,799,0,1642,796,0,69.065,70.216,255,255
1,77.627,1408,295,0,1416,224,0,71.449,71.030,255,255
1,77.598,386,453,0,404,387,0,68.411,71.308,255,255
1,76.569,1180,1090,0,1225,1035,0,71.063,70.624,255,255
1,76.275,646,1065,0,670,1023,0,48.374,69.894,255,255
1,75.456,936,934,0,954,1002,0,70.342,69.391,255,255
1,75.083,939,923,0,978,867,0,68.242,68.610,255,255
1,73.527,949,663,0,1012,643,0,66.098,67.895,255,255
1,72.255,1684,429,0,1719,485,0,66.038,65.773,255,255
1,69.355,302,766,0,329,823,0,63.071,61.429,255,255
1,68.971,666,736,0,674,800,0,64.498,64.147,255,255
1,68.870,978,867,0,998,927,0,63.246,61.289,255,255
1,68.841,899,704,0,953,737,0,63.285,61.964,255,255
1,67.870,60,366,0,77,426,0,62.362,62.457,255,255
1,67.657,1317,1088,0,1319,1022,0,66.030,65.722,255,255
1,67.598,346,611,0,348,555,0,56.036,61.020,255,255
1,67.456,286,627,0,346,611,0,62.097,64.038,255,255
1,67.255,972,596,0,1015,597,0,43.012,62.520,255,255
1,67.184,572,772,0,599,828,0,62.169,60.320,255,255
1,66.941,466,282,0,475,320,0,39.051,59.969,255,255
1,66.627,1093,67,0,1153,55,0,61.188,61.905,255,255
1,66.497,1155,1057,0,1197,1012,0,61.555,62.027,255,255
1,66.355,963,499,0,1018,475,0,60.008,62.001,255,255
1,65.698,1390,287,0,1403,232,0,56.515,59.850,255,255
1,65.527,854,421,0,892,382,0,54.452,58.938,255,255
1,65.255,1341,878,0,1365,928,0,55.462,61.122,255,255
1,64.355,849,240,0,893,275,0,56.223,59.869,255,255
1,64.113,495,344,0,518,290,0,58.694,58.826,255,255
1,63.899,482,352,0,483,413,0,61.008,58.317,255,255
1,63.799,967,216,0,1025,202,0,59.666,57.849,255,255
1,63.355,849,240,0,875,188,0,58.138,57.003,255,255
1,63.083,1317,1088,0,1350,1132,0,55.000,57.207,255,255
1,62.941,1612,405,0,1642,360,0,54.083,55.627,255,255
1,62.899,735,603,0,795,608,0,60.208,58.632,255,255
1,62.556,1381,607,0,1439,606,0,58.009,56.042,255,255
1,62.284,1020,779,0,1074,797,0,56.921,56.311,255,255
1,61.971,101,590,0,158,602,0,58.249,58.310,255,255
1,61.841,1380,750,0,1428,782,0,57.689,55.275,255,255
1,61.728,351,855,0,354,913,0,58.078,57.351,255,255
1,61.698,1097,953,0,1150,932,0,57.009,54.397,255,255
1,61.698,1612,405,0,1664,385,0,55.714,54.733,255,255
1,61.598,1488,628,0,1538,656,0,57.306,57.386,255,255
1,61.556,1162,256,0,1169,313,0,57.428,56.234,255,255
