 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
248,3,1,0,1,0,23.18,0,0,33.56
249,3,1,0,1,0,52.60,0,0,76.80
250,0,0,1,0,0,0.00,0,0,0.00
251,0,0,1,0,0,0.00,0,0,0.00
252,1,0,1,0,0,30.14,0,0,30.14
253,1,0,1,0,0,32.24,0,0,32.24
254,1,0,1,0,0,7.83,0,0,7.83
255,1,0,1,0,0,1.00,0,0,1.00
256,0,0,1,0,0,0.00,0,0,0.00
257,1,0,1,0,0,11.49,0,0,11.49
258,1,0,1,0,0,7.83,0,0,7.83
259,0,0,1,0,0,0.00,0,0,0.00
260,1,0,1,0,0,75.80,0,0,75.80
261,0,0,1,0,0,0.00,0,0,0.00
262,1,0,1,0,0,2.41,0,0,2.41
263,1,0,1,0,0,46.73,0,0,46.73
264,1,0,1,0,0,8.00,0,0,8.00
265,1,0,1,0,0,6.00,0,0,6.00
266,1,0,1,0,0,33.14,0,0,33.14
267,1,0,1,0,0,28.14,0,0,28.14
268,1,0,1,0,0,9.49,0,0,9.49
269,1,0,1,0,0,1.41,0,0,1.41
270,1,0,1,0,0,20.66,0,0,20.66
271,9,5,0,13,89,20.67,2,0,34.80
272,3,1,0,1,0,19.88,0,0,36.38
273,0,0,1,0,0,0.00,0,0,0.00
274,0,0,1,0,0,0.00,0,0,0.00
275,1,0,1,0,0,2.00,0,0,2.00
276,1,0,1,0,0,3.41,0,0,3.41
277,1,0,1,0,0,2.83,0,0,2.83
278,1,0,1,0,0,11.24,0,0,11.24
279,1,0,1,0,0,18.49,0,0,18.49
280,1,0,1,0,0,21.73,0,0,21.73
281,1,0,1,0,0,3.83,0,0,3.83
282,1,0,1,0,0,1.41,0,0,1.41
283,1,0,1,0,0,8.07,0,0,8.07
284,1,0,1,0,0,3.00,0,0,3.00
285,1,0,1,0,0,2.00,0,0,2.00
286,1,0,1,0,0,45.28,0,0,45.28
287,1,0,1,0,0,8.41,0,0,8.41
288,3,1,0,3,0,22.54,0,0,33.56
289,1,0,1,0,0,48.36,0,0,48.36
290,1,0,1,0,0,28.80,0,0,28.80
291,1,0,1,0,0,1.00,0,0,1.00
292,3,1,0,3,0,42.63,0,0,76.18
293,3,1,0,1,0,24.30,0,0,36.46
294,1,0,1,0,0,4.24,0,0,4.24
295,4,1,0,4,0,30.70,0,0,61.28
296,1,0,1,0,0,9.07,0,0,9.07
297,1,0,1,0,0,5.83,0,0,5.83
298,1,0,1,0,0,5.41,0,0,5.41
299,1,0,1,0,0,13.07,0,0,13.07
300,3,1,0,1,0,6.36,0,0,9.24
301,1,0,1,0,0,6.24,0,0,6.24
302,1,0,1,0,0,2.00,0,0,2.00
303,1,0,1,0,0,24.90,0,0,24.90
304,1,0,1,0,0,6.41,0,0,6.41
305,3,1,0,1,0,12.54,0,0,15.49
306,1,0,1,0,0,3.41,0,0,3.41
307,1,0,1,0,0,4.24,0,0,4.24
308,3,1,0,1,0,18.43,0,0,34.31
309,3,1,0,3,0,20.23,0,0,36.38
310,3,1,0,1,0,29.79,0,0,40.73
311,1,0,1,0,0,7.66,0,0,7.66
312,1,0,1,0,0,5.83,0,0,5.83
313,1,0,1,0,0,17.24,0,0,17.24
314,1,0,1,0,0,102.40,0,0,102.40
315,0,0,1,0,0,0.00,0,0,0.00
316,1,0,1,0,0,4.41,0,0,4.41
317,1,0,1,0,0,18.90,0,0,18.90
318,1,0,1,0,0,18.07,0,0,18.07
319,5,2,0,4,82,39.75,0,0,96.84
320,1,0,1,0,0,5.24,0,0,5.24
321,1,0,1,0,0,31.38,0,0,31.38
322,0,0,1,0,0,0.00,0,0,0.00
323,1,0,1,0,0,31.31,0,0,31.31
324,1,0,1,0,0,3.83,0,0,3.83
325,32,16,0,45,333,25.99,4,0,67.94
326,1,0,1,0,0,16.07,0,0,16.07
327,1,0,1,0,0,57.36,0,0,57.36
328,1,0,1,0,0,3.83,0,0,3.83
329,1,0,1,0,0,4.83,0,0,4.83
330,1,0,1,0,0,12.24,0,0,12.24
331,1,0,1,0,0,9.83,0,0,9.83
332,1,0,1,0,0,21.31,0,0,21.31
333,5,2,0,2,4,29.62,0,0,64.46
334,1,0,1,0,0,4.41,0,0,4.41
335,1,0,1,0,0,1.00,0,0,1.00
336,1,0,1,0,0,5.41,0,0,5.41
337,1,0,1,0,0,8.66,0,0,8.66
338,1,0,1,0,0,30.97,0,0,30.97
339,1,0,1,0,0,12.07,0,0,12.07
340,1,0,1,0,0,28.04,0,0,28.04
341,1,0,1,0,0,24.14,0,0,24.14
342,1,0,1,0,0,1.00,0,0,1.00
343,5,2,0,2,36,47.83,0,0,157.54
344,1,0,1,0,0,1.41,0,0,1.41
345,1,0,1,0,0,6.24,0,0,6.24
346,1,0,1,0,0,5.24,0,0,5.24
347,1,0,1,0,0,28.66,0,0,28.66
348,3,1,0,1,0,3.69,0,0,4.83
349,1,0,1,0,0,10.90,0,0,10.90
350,1,0,1,0,0,2.83,0,0,2.83
351,0,0,1,0,0,0.00,0,0,0.00
352,1,0,1,0,0,36.14,0,0,36.14
353,1,0,1,0,0,40.31,0,0,40.31
354,1,0,1,0,0,6.24,0,0,6.24
355,1,0,1,0,0,3.83,0,0,3.83
356,1,0,1,0,0,6.41,0,0,6.41
357,1,0,1,0,0,9.41,0,0,9.41
358,1,0,1,0,0,13.41,0,0,13.41
359,1,0,1,0,0,3.83,0,0,3.83
360,1,0,1,0,0,156.40,0,0,156.40
361,1,0,1,0,0,2.83,0,0,2.83
362,1,0,1,0,0,8.83,0,0,8.83
363,1,0,1,0,0,8.24,0,0,8.24
364,1,0,1,0,0,2.00,0,0,2.00
365,3,1,0,1,0,14.62,0,0,22.56
366,0,0,1,0,0,0.00,0,0,0.00
367,1,0,1,0,0,34.66,0,0,34.66
368,1,0,1,0,0,21.14,0,0,21.14
369,1,0,1,0,0,1.41,0,0,1.41
370,1,0,1,0,0,4.83,0,0,4.83
371,1,0,1,0,0,2.41,0,0,2.41
372,1,0,1,0,0,11.41,0,0,11.41
373,1,0,1,0,0,9.24,0,0,9.24
374,1,0,1,0,0,4.41,0,0,4.41
375,1,0,1,0,0,1.00,0,0,1.00
376,1,0,1,0,0,5.83,0,0,5.83
377,1,0,1,0,0,2.41,0,0,2.41
378,1,0,1,0,0,1.00,0,0,1.00
379,4,2,0,4,46,27.33,1,0,54.94
380,1,0,1,0,0,22.14,0,0,22.14
381,1,0,1,0,0,12.66,0,0,12.66
382,1,0,1,0,0,1.00,0,0,1.00
383,1,0,1,0,0,74.18,0,0,74.18
384,1,0,1,0,0,1.41,0,0,1.41
385,1,0,1,0,0,6.24,0,0,6.24
386,1,0,1,0,0,32.38,0,0,32.38
387,7,3,0,9,23,27.80,0,0,78.80
388,1,0,1,0,0,1.00,0,0,1.00
389,3,1,0,3,0,15.23,0,0,33.04
390,1,0,1,0,0,3.83,0,0,3.83
391,3,1,0,1,0,68.33,0,0,177.02
392,1,0,1,0,0,17.31,0,0,17.31
393,1,0,1,0,0,4.24,0,0,4.24
394,1,0,1,0,0,29.38,0,0,29.38
395,1,0,1,0,0,64.18,0,0,64.18
396,1,0,1,0,0,22.41,0,0,22.41
397,1,0,1,0,0,63.21,0,0,63.21
398,1,0,1,0,0,16.90,0,0,16.90
399,1,0,1,0,0,2.83,0,0,2.83
400,1,0,1,0,0,24.38,0,0,24.38
401,1,0,1,0,0,1.00,0,0,1.00
402,1,0,1,0,0,5.66,0,0,5.66
403,1,0,1,0,0,1.41,0,0,1.41
404,1,0,1,0,0,7.00,0,0,7.00
