 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,2130,1229,0,2357,34223,26.42,782,24,168.67
2,1,0,1,0,0,3.41,0,0,3.41
3,1,0,1,0,0,34.49,0,0,34.49
4,1,0,1,0,0,25.73,0,0,25.73
5,1,0,1,0,0,4.00,0,0,4.00
6,0,0,1,0,0,0.00,0,0,0.00
7,0,0,1,0,0,0.00,0,0,0.00
8,1,0,1,0,0,1.00,0,0,1.00
9,1,0,1,0,0,46.21,0,0,46.21
10,1,0,1,0,0,34.87,0,0,34.87
11,1,0,1,0,0,15.31,0,0,15.31
12,1,0,1,0,0,2.00,0,0,2.00
13,0,0,1,0,0,0.00,0,0,0.00
14,1,0,1,0,0,3.41,0,0,3.41
15,1,0,1,0,0,9.66,0,0,9.66
16,1,0,1,0,0,4.24,0,0,4.24
17,1,0,1,0,0,6.83,0,0,6.83
18,3,1,0,1,0,17.09,0,0,28.56
19,1,0,1,0,0,1.00,0,0,1.00
20,1,0,1,0,0,8.83,0,0,8.83
21,1,0,1,0,0,53.28,0,0,53.28
22,1,0,1,0,0,1.41,0,0,1.41
23,1,0,1,0,0,22.90,0,0,22.90
24,1,0,1,0,0,2.41,0,0,2.41
25,1,0,1,0,0,17.24,0,0,17.24
26,1,0,1,0,0,3.83,0,0,3.83
27,1,0,1,0,0,1.00,0,0,1.00
28,1,0,1,0,0,6.24,0,0,6.24
29,1,0,1,0,0,19.73,0,0,19.73
30,1,0,1,0,0,1.00,0,0,1.00
31,1,0,1,0,0,2.00,0,0,2.00
32,0,0,1,0,0,0.00,0,0,0.00
33,1,0,1,0,0,9.66,0,0,9.66
34,1,0,1,0,0,10.07,0,0,10.07
35,1,0,1,0,0,30.97,0,0,30.97
36,0,0,1,0,0,0.00,0,0,0.00
37,0,0,1,0,0,0.00,0,0,0.00
38,1,0,1,0,0,1.00,0,0,1.00
39,1,0,1,0,0,6.00,0,0,6.00
40,1,0,1,0,0,13.24,0,0,13.24
41,0,0,1,0,0,0.00,0,0,0.00
42,1,0,1,0,0,2.00,0,0,2.00
43,1,0,1,0,0,1.41,0,0,1.41
44,1,0,1,0,0,35.63,0,0,35.63
45,1,0,1,0,0,19.07,0,0,19.07
46,1,0,1,0,0,9.66,0,0,9.66
47,1,0,1,0,0,5.24,0,0,5.24
48,1,0,1,0,0,2.41,0,0,2.41
49,1,0,1,0,0,3.83,0,0,3.83
50,1,0,1,0,0,27.56,0,0,27.56
51,1,0,1,0,0,2.41,0,0,2.41
52,1,0,1,0,0,13.66,0,0,13.66
53,0,0,1,0,0,0.00,0,0,0.00
54,1,0,1,0,0,16.66,0,0,16.66
55,1,0,1,0,0,15.07,0,0,15.07
56,0,0,1,0,0,0.00,0,0,0.00
57,1,0,1,0,0,14.07,0,0,14.07
58,3,1,0,1,0,8.91,0,0,14.49
59,0,0,1,0,0,0.00,0,0,0.00
60,0,0,1,0,0,0.00,0,0,0.00
61,1,0,1,0,0,2.00,0,0,2.00
62,1,0,1,0,0,12.83,0,0,12.83
63,1,0,1,0,0,2.83,0,0,2.83
64,0,0,1,0,0,0.00,0,0,0.00
65,1,0,1,0,0,3.83,0,0,3.83
66,1,0,1,0,0,2.41,0,0,2.41
67,1,0,1,0,0,1.00,0,0,1.00
68,1,0,1,0,0,7.83,0,0,7.83
69,1,0,1,0,0,3.83,0,0,3.83
70,1,0,1,0,0,54.63,0,0,54.63
71,1,0,1,0,0,1.00,0,0,1.00
72,1,0,1,0,0,12.41,0,0,12.41
73,0,0,1,0,0,0.00,0,0,0.00
74,1,0,1,0,0,9.00,0,0,9.00
75,1,0,1,0,0,6.24,0,0,6.24
76,0,0,1,0,0,0.00,0,0,0.00
