 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,1,0,0,4.41,0,0,4.41
2,12,5,0,9,5,6.27,0,0,12.07
3,21,12,0,18,271,21.03,7,0,72.38
4,3,1,0,1,0,4.08,0,0,5.41
5,1,0,1,0,0,15.07,0,0,15.07
6,1,0,1,0,0,5.83,0,0,5.83
7,1,0,1,0,0,7.83,0,0,7.83
8,1,0,1,0,0,24.56,0,0,24.56
9,3,1,0,3,0,15.10,0,0,27.90
10,3,1,0,1,0,8.52,0,0,13.07
11,1,0,1,0,0,21.56,0,0,21.56
12,1,0,1,0,0,28.90,0,0,28.90
13,1,0,1,0,0,25.07,0,0,25.07
14,1,0,1,0,0,29.80,0,0,29.80
15,1,0,1,0,0,46.70,0,0,46.70
16,1,0,1,0,0,12.07,0,0,12.07
17,1,0,1,0,0,21.66,0,0,21.66
18,1,0,1,0,0,9.49,0,0,9.49
19,1,0,1,0,0,20.66,0,0,20.66
20,1,0,1,0,0,1.41,0,0,1.41
21,1,0,1,0,0,5.83,0,0,5.83
22,3,1,0,1,0,11.13,0,0,19.14
23,1,0,1,0,0,30.56,0,0,30.56
24,3,1,0,1,0,27.37,0,0,69.46
25,1,0,1,0,0,1.41,0,0,1.41
26,3,1,0,1,0,23.98,0,0,35.56
27,1,0,1,0,0,2.00,0,0,2.00
28,1,0,1,0,0,8.41,0,0,8.41
29,1,0,1,0,0,3.00,0,0,3.00
30,1,0,1,0,0,3.41,0,0,3.41
31,1,0,1,0,0,23.56,0,0,23.56
32,1,0,1,0,0,50.04,0,0,50.04
33,3,1,0,3,0,14.54,0,0,18.31
34,1,0,1,0,0,13.07,0,0,13.07
35,3,1,0,1,0,29.97,0,0,49.04
36,1,0,1,0,0,9.24,0,0,9.24
37,1,0,1,0,0,61.28,0,0,61.28
38,1,0,1,0,0,10.07,0,0,10.07
39,1,0,1,0,0,108.63,0,0,108.63
40,1,0,1,0,0,3.00,0,0,3.00
41,1,0,1,0,0,10.49,0,0,10.49
42,1,0,1,0,0,11.66,0,0,11.66
43,1,0,1,0,0,10.66,0,0,10.66
44,1,0,1,0,0,7.24,0,0,7.24
45,1,0,1,0,0,18.49,0,0,18.49
46,3,1,0,1,0,5.50,0,0,7.66
47,1,0,1,0,0,11.24,0,0,11.24
48,38,20,0,37,551,27.01,8,0,88.11
49,1,0,1,0,0,55.53,0,0,55.53
50,1,0,1,0,0,11.07,0,0,11.07
51,1,0,1,0,0,5.41,0,0,5.41
52,1,0,1,0,0,12.66,0,0,12.66
53,1,0,1,0,0,11.83,0,0,11.83
54,1,0,1,0,0,8.83,0,0,8.83
55,1,0,1,0,0,37.97,0,0,37.97
56,3,1,0,3,0,11.93,0,0,14.07
57,1,0,1,0,0,17.56,0,0,17.56
58,1,0,1,0,0,9.66,0,0,9.66
59,1,0,1,0,0,17.66,0,0,17.66
60,284,158,0,308,3804,23.72,81,4,209.87
61,11,5,0,9,45,39.08,0,0,159.17
62,7,3,0,5,17,12.40,0,0,35.56
63,1,0,1,0,0,55.46,0,0,55.46
64,1,0,1,0,0,8.49,0,0,8.49
65,1,0,1,0,0,15.07,0,0,15.07
66,1,0,1,0,0,5.41,0,0,5.41
67,4,2,0,4,42,33.82,0,0,57.43
68,1,0,1,0,0,1.41,0,0,1.41
69,1,0,1,0,0,2.83,0,0,2.83
70,1,0,1,0,0,1.00,0,0,1.00
71,1,0,1,0,0,63.70,0,0,63.70
72,1,0,1,0,0,7.83,0,0,7.83
73,0,0,1,0,0,0.00,0,0,0.00
74,1,0,1,0,0,35.04,0,0,35.04
75,1,0,1,0,0,17.66,0,0,17.66
76,1,0,1,0,0,3.83,0,0,3.83
77,1,0,1,0,0,16.66,0,0,16.66
78,1,0,1,0,0,25.31,0,0,25.31
79,1,0,1,0,0,2.83,0,0,2.83
80,1,0,1,0,0,22.00,0,0,22.00
81,1,0,1,0,0,25.49,0,0,25.49
82,1,0,1,0,0,48.11,0,0,48.11
83,1,0,1,0,0,9.83,0,0,9.83
84,0,0,1,0,0,0.00,0,0,0.00
85,1,0,1,0,0,9.07,0,0,9.07
86,1,0,1,0,0,42.46,0,0,42.46
87,1,0,1,0,0,34.49,0,0,34.49
88,1,0,1,0,0,26.24,0,0,26.24
89,1,0,1,0,0,7.83,0,0,7.83
90,1,0,1,0,0,5.24,0,0,5.24
91,1,0,1,0,0,5.41,0,0,5.41
92,3,1,0,3,0,21.23,0,0,37.97
93,1,0,1,0,0,22.97,0,0,22.97
94,1,0,1,0,0,44.38,0,0,44.38
95,1,0,1,0,0,3.41,0,0,3.41
96,5,2,0,6,34,31.04,0,0,46.80
97,1,0,1,0,0,9.66,0,0,9.66
98,1,0,1,0,0,32.49,0,0,32.49
99,1,0,1,0,0,74.73,0,0,74.73
100,1,0,1,0,0,11.24,0,0,11.24
101,1,0,1,0,0,3.00,0,0,3.00
102,1,0,1,0,0,9.00,0,0,9.00
