 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,2126,1215,0,2373,32108,24.61,752,35,275.52
2,3,1,0,1,0,14.07,0,0,31.97
3,15,8,0,14,140,19.73,3,0,42.38
4,1,0,1,0,0,20.31,0,0,20.31
5,1,0,1,0,0,4.00,0,0,4.00
6,1,0,1,0,0,7.24,0,0,7.24
7,1,0,1,0,0,1.00,0,0,1.00
8,1,0,1,0,0,14.41,0,0,14.41
9,1,0,1,0,0,25.56,0,0,25.56
10,0,0,1,0,0,0.00,0,0,0.00
11,1,0,1,0,0,5.24,0,0,5.24
12,0,0,1,0,0,0.00,0,0,0.00
13,1,0,1,0,0,4.00,0,0,4.00
14,0,0,1,0,0,0.00,0,0,0.00
15,0,0,1,0,0,0.00,0,0,0.00
16,1,0,1,0,0,5.00,0,0,5.00
17,1,0,1,0,0,5.24,0,0,5.24
18,1,0,1,0,0,14.07,0,0,14.07
19,1,0,1,0,0,7.41,0,0,7.41
20,1,0,1,0,0,23.97,0,0,23.97
21,7,3,0,5,102,60.96,0,0,145.72
22,1,0,1,0,0,102.47,0,0,102.47
23,0,0,1,0,0,0.00,0,0,0.00
24,0,0,1,0,0,0.00,0,0,0.00
25,1,0,1,0,0,26.14,0,0,26.14
26,1,0,1,0,0,21.90,0,0,21.90
27,1,0,1,0,0,39.56,0,0,39.56
28,1,0,1,0,0,9.66,0,0,9.66
29,1,0,1,0,0,7.66,0,0,7.66
30,1,0,1,0,0,2.41,0,0,2.41
31,0,0,1,0,0,0.00,0,0,0.00
32,1,0,1,0,0,3.83,0,0,3.83
33,3,1,0,3,0,42.18,0,0,55.31
34,1,0,1,0,0,4.41,0,0,4.41
35,1,0,1,0,0,4.83,0,0,4.83
36,1,0,1,0,0,2.83,0,0,2.83
37,1,0,1,0,0,9.07,0,0,9.07
38,0,0,1,0,0,0.00,0,0,0.00
39,1,0,1,0,0,64.38,0,0,64.38
40,1,0,1,0,0,3.83,0,0,3.83
41,1,0,1,0,0,44.07,0,0,44.07
42,1,0,1,0,0,11.24,0,0,11.24
43,1,0,1,0,0,12.24,0,0,12.24
44,1,0,1,0,0,6.83,0,0,6.83
45,0,0,1,0,0,0.00,0,0,0.00
46,1,0,1,0,0,35.70,0,0,35.70
47,1,0,1,0,0,3.83,0,0,3.83
48,1,0,1,0,0,3.83,0,0,3.83
49,1,0,1,0,0,7.24,0,0,7.24
50,1,0,1,0,0,1.41,0,0,1.41
51,3,1,0,3,0,23.12,0,0,32.97
52,1,0,1,0,0,3.00,0,0,3.00
53,1,0,1,0,0,5.24,0,0,5.24
54,1,0,1,0,0,1.41,0,0,1.41
55,1,0,1,0,0,65.53,0,0,65.53
56,1,0,1,0,0,69.53,0,0,69.53
57,1,0,1,0,0,17.24,0,0,17.24
58,1,0,1,0,0,1.00,0,0,1.00
59,1,0,1,0,0,26.63,0,0,26.63
60,1,0,1,0,0,25.80,0,0,25.80
61,1,0,1,0,0,5.66,0,0,5.66
62,1,0,1,0,0,1.00,0,0,1.00
63,1,0,1,0,0,8.66,0,0,8.66
64,1,0,1,0,0,15.83,0,0,15.83
65,1,0,1,0,0,74.33,0,0,74.33
66,1,0,1,0,0,2.41,0,0,2.41
67,1,0,1,0,0,4.41,0,0,4.41
68,1,0,1,0,0,8.41,0,0,8.41
69,1,0,1,0,0,12.66,0,0,12.66
70,1,0,1,0,0,1.00,0,0,1.00
71,3,1,0,1,0,25.31,0,0,35.14
72,1,0,1,0,0,11.24,0,0,11.24
73,1,0,1,0,0,12.49,0,0,12.49
74,1,0,1,0,0,1.00,0,0,1.00
75,1,0,1,0,0,1.00,0,0,1.00
76,1,0,1,0,0,6.41,0,0,6.41
77,1,0,1,0,0,10.07,0,0,10.07
78,1,0,1,0,0,20.66,0,0,20.66
79,1,0,1,0,0,21.66,0,0,21.66
80,1,0,1,0,0,20.66,0,0,20.66
81,1,0,1,0,0,18.73,0,0,18.73
82,1,0,1,0,0,4.83,0,0,4.83
83,1,0,1,0,0,3.83,0,0,3.83
84,1,0,1,0,0,21.66,0,0,21.66
85,1,0,1,0,0,48.70,0,0,48.70
86,1,0,1,0,0,13.90,0,0,13.90
87,1,0,1,0,0,95.50,0,0,95.50
88,1,0,1,0,0,3.41,0,0,3.41
89,1,0,1,0,0,9.83,0,0,9.83
90,1,0,1,0,0,10.83,0,0,10.83
91,1,0,1,0,0,2.83,0,0,2.83
92,1,0,1,0,0,1.00,0,0,1.00
93,1,0,1,0,0,9.41,0,0,9.41
94,1,0,1,0,0,29.38,0,0,29.38
95,1,0,1,0,0,6.41,0,0,6.41
96,1,0,1,0,0,1.00,0,0,1.00
97,26,14,0,28,207,19.31,6,0,61.63
98,1,0,1,0,0,2.83,0,0,2.83
99,1,0,1,0,0,20.49,0,0,20.49
100,1,0,1,0,0,1.41,0,0,1.41
101,1,0,1,0,0,44.28,0,0,44.28
102,1,0,1,0,0,1.41,0,0,1.41
103,0,0,1,0,0,0.00,0,0,0.00
104,1,0,1,0,0,4.83,0,0,4.83
105,1,0,1,0,0,30.38,0,0,30.38
106,1,0,1,0,0,3.41,0,0,3.41
107,1,0,1,0,0,7.24,0,0,7.24
108,1,0,1,0,0,3.41,0,0,3.41
109,0,0,1,0,0,0.00,0,0,0.00
110,1,0,1,0,0,32.38,0,0,32.38
111,1,0,1,0,0,1.00,0,0,1.00
112,1,0,1,0,0,2.41,0,0,2.41
113,1,0,1,0,0,37.14,0,0,37.14
114,1,0,1,0,0,2.00,0,0,2.00
115,0,0,1,0,0,0.00,0,0,0.00
116,1,0,1,0,0,1.41,0,0,1.41
117,0,0,1,0,0,0.00,0,0,0.00
118,0,0,1,0,0,0.00,0,0,0.00
119,1,0,1,0,0,3.41,0,0,3.41
120,1,0,1,0,0,2.41,0,0,2.41
121,1,0,1,0,0,8.24,0,0,8.24
122,1,0,1,0,0,12.49,0,0,12.49
123,1,0,1,0,0,4.41,0,0,4.41
124,5,2,0,4,5,13.67,0,0,29.80
125,1,0,1,0,0,2.41,0,0,2.41
126,1,0,1,0,0,5.41,0,0,5.41
127,1,0,1,0,0,2.00,0,0,2.00
128,1,0,1,0,0,6.66,0,0,6.66
129,1,0,1,0,0,25.97,0,0,25.97
130,0,0,1,0,0,0.00,0,0,0.00
131,1,0,1,0,0,3.00,0,0,3.00
132,1,0,1,0,0,5.83,0,0,5.83
133,1,0,1,0,0,1.41,0,0,1.41
134,1,0,1,0,0,3.83,0,0,3.83
135,1,0,1,0,0,5.24,0,0,5.24
136,1,0,1,0,0,1.41,0,0,1.41
137,1,0,1,0,0,24.97,0,0,24.97
138,1,0,1,0,0,8.66,0,0,8.66
139,3,1,0,3,0,17.96,0,0,21.14
140,1,0,1,0,0,1.00,0,0,1.00
141,1,0,1,0,0,12.24,0,0,12.24
142,1,0,1,0,0,12.66,0,0,12.66
143,5,2,0,4,5,6.03,0,0,9.07
144,1,0,1,0,0,7.41,0,0,7.41
145,1,0,1,0,0,1.41,0,0,1.41
146,1,0,1,0,0,12.66,0,0,12.66
147,0,0,1,0,0,0.00,0,0,0.00
148,0,0,1,0,0,0.00,0,0,0.00
149,3,1,0,1,0,22.70,0,0,33.97
150,61,31,0,73,758,23.61,14,0,76.08
151,1,0,1,0,0,1.41,0,0,1.41
152,1,0,1,0,0,8.24,0,0,8.24
153,0,0,1,0,0,0.00,0,0,0.00
154,1,0,1,0,0,74.70,0,0,74.70
155,1,0,1,0,0,21.24,0,0,21.24
156,0,0,1,0,0,0.00,0,0,0.00
157,1,0,1,0,0,8.24,0,0,8.24
158,1,0,1,0,0,3.00,0,0,3.00
159,1,0,1,0,0,8.41,0,0,8.41
160,1,0,1,0,0,1.00,0,0,1.00
161,1,0,1,0,0,6.83,0,0,6.83
162,1,0,1,0,0,23.14,0,0,23.14
163,1,0,1,0,0,1.00,0,0,1.00
164,1,0,1,0,0,1.00,0,0,1.00
165,3,1,0,3,0,15.13,0,0,30.14
166,1,0,1,0,0,32.21,0,0,32.21
167,3,1,0,1,0,18.15,0,0,26.66
168,1,0,1,0,0,28.56,0,0,28.56
169,1,0,1,0,0,12.24,0,0,12.24
170,3,1,0,1,0,31.42,0,0,49.04
171,1,0,1,0,0,7.24,0,0,7.24
172,0,0,1,0,0,0.00,0,0,0.00
173,1,0,1,0,0,2.00,0,0,2.00
174,0,0,1,0,0,0.00,0,0,0.00
175,0,0,1,0,0,0.00,0,0,0.00
176,1,0,1,0,0,50.60,0,0,50.60
177,0,0,1,0,0,0.00,0,0,0.00
178,1,0,1,0,0,5.41,0,0,5.41
179,5,2,0,2,54,29.35,0,0,70.33
180,1,0,1,0,0,3.83,0,0,3.83
181,1,0,1,0,0,16.49,0,0,16.49
182,1,0,1,0,0,3.83,0,0,3.83
183,1,0,1,0,0,1.41,0,0,1.41
184,1,0,1,0,0,10.49,0,0,10.49
185,1,0,1,0,0,1.00,0,0,1.00
186,1,0,1,0,0,2.00,0,0,2.00
187,0,0,1,0,0,0.00,0,0,0.00
188,1,0,1,0,0,40.11,0,0,40.11
189,1,0,1,0,0,12.66,0,0,12.66
190,1,0,1,0,0,30.80,0,0,30.80
191,1,0,1,0,0,4.83,0,0,4.83
192,1,0,1,0,0,4.83,0,0,4.83
193,1,0,1,0,0,1.00,0,0,1.00
194,1,0,1,0,0,12.66,0,0,12.66
195,1,0,1,0,0,50.49,0,0,50.49
196,1,0,1,0,0,41.90,0,0,41.90
197,1,0,1,0,0,24.90,0,0,24.90
198,1,0,1,0,0,3.41,0,0,3.41
199,1,0,1,0,0,1.41,0,0,1.41
200,1,0,1,0,0,2.00,0,0,2.00
201,1,0,1,0,0,4.00,0,0,4.00
202,1,0,1,0,0,9.66,0,0,9.66
203,1,0,1,0,0,5.41,0,0,5.41
204,1,0,1,0,0,5.83,0,0,5.83
205,0,0,1,0,0,0.00,0,0,0.00
206,1,0,1,0,0,11.90,0,0,11.90
207,1,0,1,0,0,6.24,0,0,6.24
208,1,0,1,0,0,58.94,0,0,58.94
209,0,0,1,0,0,0.00,0,0,0.00
210,1,0,1,0,0,4.00,0,0,4.00
211,1,0,1,0,0,4.41,0,0,4.41
212,1,0,1,0,0,1.00,0,0,1.00
213,1,0,1,0,0,1.00,0,0,1.00
214,0,0,1,0,0,0.00,0,0,0.00
215,5,2,0,2,2,15.47,0,0,33.73
216,1,0,1,0,0,35.63,0,0,35.63
217,1,0,1,0,0,8.07,0,0,8.07
218,6,3,0,7,20,9.82,0,0,14.83
219,0,0,1,0,0,0.00,0,0,0.00
220,1,0,1,0,0,6.00,0,0,6.00
221,1,0,1,0,0,5.41,0,0,5.41
