Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,72.763,8,1080,0,39,1136,0,64.008,65.496,255,255
1,64.799,6,1117,0,20,1176,0,60.638,62.055,255,255
1,50.113,71,1183,0,109,1186,0,38.118,46.334,255,255
1,47.870,20,1176,0,59,1170,0,39.459,43.647,255,255
1,41.142,6,1117,0,8,1080,0,37.054,38.402,255,255
1,32.142,39,1136,0,53,1158,0,26.077,28.794,255,255
1,31.799,31,1162,0,39,1136,0,27.203,27.269,255,255
1,30.627,60,1167,0,83,1170,0,23.195,27.732,255,255
1,27.971,83,1170,0,106,1182,0,25.942,23.970,255,255
1,26.142,31,1162,0,53,1158,0,22.361,24.652,255,255
1,19.728,59,1170,0,71,1183,0,17.692,17.872,255,255
1,19.142,20,1176,0,31,1162,0,17.804,16.877,255,255
1,18.556,71,1183,0,83,1170,0,17.692,15.657,255,255
1,12.485,53,1158,0,60,1167,0,11.402,9.517,255,255
1,5.243,106,1182,0,109,1186,0,5.000,3.734,255,255
1,3.414,59,1170,0,60,1167,0,3.162,1.000,255,255
5,45.971,232,562,0,244,541,0,24.187,42.342,255,255
5,43.728,102,550,0,107,590,0,40.311,38.416,255,255
5,42.314,44,591,0,51,555,0,36.674,37.741,255,255
5,38.314,72,596,0,107,590,0,35.511,34.030,255,255
5,37.556,175,575,0,207,577,0,32.062,32.349,255,255
5,37.456,158,508,0,179,481,0,34.205,32.312,255,255
5,34.213,17,597,0,44,591,0,27.659,29.789,255,255
5,31.728,44,591,0,72,596,0,28.443,29.592,255,255
5,29.728,232,573,0,248,554,0,24.839,27.643,255,255
5,29.142,207,577,0,232,573,0,25.318,26.203,255,255
5,28.142,158,508,0,165,529,0,22.136,25.265,255,255
5,25.728,7,614,0,8,592,0,22.023,23.295,255,255
5,25.728,244,541,0,248,554,0,13.601,23.096,255,255
5,24.657,182,545,0,184,522,0,23.087,21.736,255,255
5,24.142,99,545,0,109,525,0,22.361,21.555,255,255
5,23.971,168,528,0,182,545,0,22.023,20.492,255,255
5,23.556,150,563,0,164,547,0,21.260,19.449,255,255
5,22.899,127,588,0,145,581,0,19.313,18.645,255,255
5,22.243,107,590,0,127,588,0,20.100,20.136,255,255
5,21.799,164,547,0,178,563,0,21.260,19.645,255,255
5,21.728,7,614,0,17,597,0,19.723,18.744,255,255
5,20.485,102,550,0,119,543,0,18.385,17.870,255,255
5,20.485,178,563,0,182,545,0,18.439,18.001,255,255
5,20.071,142,563,0,145,581,0,18.248,17.544,255,255
5,19.728,158,508,0,170,521,0,17.692,15.996,255,255
5,19.657,145,581,0,162,576,0,17.720,16.544,255,255
5,18.556,150,563,0,162,576,0,17.692,15.089,255,255
5,18.414,164,547,0,165,529,0,18.028,16.000,255,255
5,16.314,232,562,0,243,552,0,14.866,12.580,255,255
5,15.243,170,521,0,184,522,0,14.036,12.262,255,255
5,15.071,109,525,0,122,530,0,13.928,11.506,255,255
5,14.243,119,543,0,122,530,0,13.342,11.164,255,255
5,14.243,162,576,0,175,575,0,13.038,11.194,255,255
5,13.243,175,575,0,178,563,0,12.369,9.144,255,255
5,11.414,243,552,0,244,541,0,11.045,9.000,255,255
5,11.071,8,592,0,17,597,0,10.296,6.182,255,255
5,8.000,142,563,0,150,563,0,8.000,7.000,255,255
5,7.828,168,528,0,170,521,0,7.280,4.000,255,255
5,7.414,231,566,0,232,573,0,7.071,5.000,255,255
5,6.243,99,545,0,102,550,0,5.831,4.172,255,255
5,5.828,243,552,0,248,554,0,5.385,4.031,255,255
5,4.414,231,566,0,232,562,0,4.123,3.000,255,255
5,3.414,165,529,0,168,528,0,3.162,2.532,255,255
8,27.799,25,39,0,39,31,0,16.125,25.620,255,255
8,27.728,39,31,0,48,7,0,25.632,23.309,255,255
8,25.657,89,39,0,91,15,0,24.083,22.420,255,255
8,24.485,79,7,0,91,15,0,14.422,22.078,255,255
8,18.485,48,7,0,64,11,0,16.492,16.087,255,255
8,17.485,64,11,0,79,7,0,15.524,16.220,255,255
8,17.314,25,39,0,39,31,0,16.125,15.069,255,255
8,13.728,64,11,0,74,20,0,13.454,9.632,255,255
8,11.828,80,13,0,91,15,0,11.180,9.637,255,255
8,9.485,74,20,0,80,13,0,9.220,7.265,255,255
8,8.243,18,36,0,25,39,0,7.616,5.637,255,255
8,6.414,79,7,0,80,13,0,6.083,4.000,255,255
13,127.485,320,442,0,326,567,0,125.144,121.317,255,255
13,127.284,371,621,0,490,617,0,119.067,118.367,255,255
13,109.368,303,694,0,371,621,0,99.765,102.477,255,255
13,86.728,295,789,0,304,706,0,83.487,81.719,255,255
13,73.811,326,567,0,371,621,0,70.292,68.602,255,255
13,69.184,239,768,0,295,789,0,59.808,64.120,255,255
13,63.971,262,663,0,268,604,0,59.304,58.168,255,255
13,56.770,192,684,0,237,657,0,52.479,51.603,255,255
13,56.627,16,684,0,66,680,0,50.160,51.269,255,255
13,54.426,262,663,0,303,694,0,51.400,49.350,255,255
13,53.899,295,789,0,302,840,0,51.478,49.607,255,255
13,45.527,290,590,0,326,567,0,42.720,42.526,255,255
13,45.213,162,728,0,201,739,0,40.522,41.356,255,255
13,38.870,160,704,0,188,682,0,35.609,34.971,255,255
13,37.042,115,704,0,135,699,0,20.616,31.526,255,255
13,30.142,201,739,0,206,714,0,25.495,27.562,255,255
13,28.657,190,711,0,192,684,0,27.074,26.051,255,255
13,28.556,92,686,0,116,679,0,25.000,24.954,255,255
13,27.799,268,604,0,290,590,0,26.077,23.313,255,255
13,27.485,237,657,0,262,663,0,25.710,24.929,255,255
13,26.828,164,711,0,190,711,0,26.000,24.736,255,255
13,24.485,119,676,0,141,680,0,22.361,20.227,255,255
13,23.314,99,692,0,115,704,0,20.000,21.203,255,255
13,21.799,174,666,0,188,682,0,21.260,19.896,255,255
