 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.41,1296,388,135.00,1.00
2,7.07,1299,77,45.00,1.41
3,6.71,500,1427,63.43,1.79
4,2.24,188,733,116.57,1.00
5,21.19,639,428,160.71,2.11
6,4.24,1110,795,135.00,1.41
7,8.06,993,1229,60.26,1.79
8,9.49,780,1148,71.57,1.94
9,21.21,753,359,45.00,1.41
10,1.41,474,1086,135.00,1.00
11,15.30,1447,309,11.31,1.99
12,13.34,1028,1536,77.01,1.97
13,11.66,788,680,59.04,2.06
14,5.00,1299,143,36.87,1.79
15,12.37,651,653,165.96,1.96
16,4.12,664,656,165.96,1.00
17,7.21,1101,852,33.69,2.00
18,15.00,514,1393,53.13,1.94
19,4.24,439,1284,45.00,1.41
20,3.61,1297,891,123.69,1.79
21,21.02,636,990,92.73,1.00
22,1.41,1318,1218,135.00,1.00
23,21.63,692,605,123.69,2.12
24,5.83,384,665,149.04,1.79
25,1.41,1079,424,135.00,1.00
26,4.47,910,130,153.43,1.79
27,13.00,915,132,157.38,2.11
28,5.00,1091,277,143.13,1.94
29,5.10,1344,170,101.31,1.00
30,2.24,552,653,153.43,1.00
31,21.26,733,403,138.81,2.07
32,10.20,1155,1463,11.31,1.99
33,5.83,548,706,149.04,1.79
34,1.41,1065,1151,135.00,1.00
35,8.54,1078,1155,159.44,1.90
36,10.00,856,1092,143.13,1.94
37,4.24,1490,1125,135.00,1.41
38,1.41,1166,646,135.00,1.00
39,18.11,1160,1094,173.66,1.99
40,3.16,494,611,161.57,1.00
41,6.71,1317,942,26.57,1.79
42,1.41,1047,325,135.00,1.00
43,14.76,847,743,28.30,1.79
44,2.83,1398,387,45.00,1.41
45,2.24,858,186,116.57,1.00
46,13.15,857,207,81.25,1.99
47,3.61,474,1087,146.31,1.79
48,11.31,1128,162,135.00,1.41
49,5.66,684,983,45.00,1.41
50,1.41,631,373,135.00,1.00
51,9.43,614,384,32.01,2.06
52,2.24,952,270,116.57,1.00
53,17.03,676,409,176.63,1.00
54,17.09,1156,970,20.56,1.90
55,4.24,1221,501,135.00,1.41
56,7.21,981,173,146.31,1.94
57,4.47,1292,526,116.57,1.90
58,7.62,943,928,23.20,1.94
59,14.87,712,667,137.73,2.07
60,5.66,1425,1045,135.00,1.41
61,5.39,932,830,21.80,1.94
62,17.49,551,263,59.04,2.11
63,2.83,549,266,45.00,1.41
64,6.32,948,1141,71.57,1.90
