 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.41,1549,227,135.00,1.00
2,7.62,1637,306,66.80,1.94
3,7.28,1449,151,74.05,1.94
4,6.71,1555,889,116.57,1.90
5,10.82,1384,494,56.31,2.06
6,5.39,710,596,68.20,1.90
7,10.44,1621,718,73.30,1.96
8,10.44,1163,502,163.30,1.96
9,5.39,1574,196,68.20,1.90
10,2.24,1472,1041,116.57,1.00
11,3.16,1474,1050,108.43,1.00
12,6.71,998,474,153.43,1.90
13,1.41,80,666,135.00,1.00
14,4.47,484,826,26.57,1.90
15,1.41,1293,1047,135.00,1.00
16,9.22,1130,448,77.47,1.98
17,2.83,1045,395,135.00,1.41
18,2.24,1572,1044,116.57,1.00
19,3.61,779,912,33.69,1.79
20,5.83,929,487,30.96,1.79
21,7.21,1403,154,56.31,1.94
22,10.77,1515,272,68.20,1.90
23,5.00,1006,1036,53.13,1.94
24,9.22,671,720,167.47,1.96
25,10.30,366,486,29.05,1.79
26,3.61,1291,455,146.31,1.79
27,17.03,347,584,93.37,1.00
28,1.41,1481,794,135.00,1.00
29,5.39,1405,230,68.20,1.90
30,4.47,501,608,63.43,1.79
31,6.40,652,476,38.66,2.00
32,5.10,681,915,101.31,1.00
33,4.47,1070,757,153.43,1.90
34,15.81,202,600,108.43,2.11
35,8.60,1306,472,144.46,2.00
36,10.63,100,743,138.81,2.00
37,5.39,451,781,21.80,1.90
38,8.06,570,810,119.74,2.06
39,3.16,1206,846,108.43,1.00
40,5.00,1107,303,126.87,1.94
41,8.94,1496,1017,63.43,1.79
42,5.83,1491,1026,59.04,1.79
43,7.07,1049,554,98.13,1.00
44,19.31,274,593,111.25,2.14
45,7.28,698,720,164.05,1.94
46,20.62,193,581,75.96,2.06
47,4.47,630,799,116.57,1.79
48,4.47,94,379,63.43,1.79
49,3.16,675,562,108.43,1.00
50,10.00,1418,217,53.13,1.94
51,19.42,986,621,78.11,2.05
52,6.40,606,944,128.66,1.94
53,17.46,694,643,76.76,1.97
54,6.32,1410,942,108.43,1.94
55,3.16,1413,953,108.43,1.00
56,3.61,1479,947,123.69,1.79
57,2.24,581,476,153.43,1.00
58,4.47,594,480,153.43,1.90
59,9.22,583,1008,102.53,1.98
60,5.66,1611,907,135.00,1.41
61,7.07,620,743,135.00,1.41
62,2.83,908,826,135.00,1.41
63,4.12,1413,404,104.04,1.00
64,9.22,755,637,77.47,1.96
65,1.41,216,554,135.00,1.00
66,15.52,1074,657,75.07,2.06
67,6.08,447,621,170.54,1.00
68,1.41,458,664,135.00,1.00
69,5.00,447,673,36.87,1.94
70,2.24,745,704,116.57,1.00
71,5.00,901,600,36.87,1.79
72,3.61,1546,1018,123.69,1.79
73,6.32,1549,1028,108.43,1.94
74,5.39,1617,765,158.20,1.94
75,7.28,1532,934,105.95,1.96
76,16.49,1475,821,165.96,1.96
77,1.41,1221,1124,135.00,1.00
78,12.04,617,359,175.24,1.00
79,4.12,1343,1148,104.04,1.00
80,9.22,591,736,12.53,1.96
81,4.47,556,986,153.43,1.79
82,2.83,1038,622,45.00,1.41
83,5.00,1028,638,53.13,1.79
84,3.16,375,568,161.57,1.00
85,10.44,960,986,16.70,1.98
86,3.61,1637,739,123.69,1.79
87,4.47,1269,459,153.43,1.90
88,5.00,567,684,53.13,1.94
89,7.81,1412,875,39.81,1.94
90,12.65,1180,666,71.57,1.94
91,1.41,1146,841,135.00,1.00
92,11.70,915,929,19.98,1.94
93,8.25,1127,652,104.04,1.96
94,6.32,260,715,108.43,1.90
95,10.63,715,710,48.81,2.03
96,6.40,1225,1124,128.66,1.94
97,8.25,1102,776,14.04,1.96
98,2.24,509,630,116.57,1.00
99,20.52,1105,273,46.97,2.07
100,6.32,805,961,161.57,1.94
101,13.00,1429,799,112.62,2.11
102,1.41,561,561,135.00,1.00
103,2.24,775,552,116.57,1.00
104,1.41,773,571,135.00,1.00
105,10.05,921,855,95.71,1.00
106,5.39,933,884,68.20,1.94
107,3.61,1217,781,146.31,1.79
108,21.54,62,783,158.20,2.11
109,4.12,166,599,165.96,1.00
110,1.41,1201,989,135.00,1.00
111,2.24,681,832,153.43,1.00
112,17.26,416,604,79.99,1.99
113,5.00,1406,976,126.87,1.79
114,2.83,1415,992,135.00,1.41
115,5.83,46,719,30.96,1.79
116,6.40,634,520,38.66,1.94
117,14.87,1337,342,132.27,2.07
118,10.44,603,552,73.30,1.96
119,6.32,601,560,71.57,1.94
120,13.42,1007,692,26.57,2.11
121,3.61,1348,211,56.31,1.79
122,1.41,763,700,135.00,1.00
123,8.06,750,707,29.74,1.79
124,20.40,618,417,11.31,1.97
125,5.00,372,671,143.13,1.79
126,6.40,377,675,141.34,1.94
127,4.47,688,874,26.57,1.79
128,3.61,929,738,56.31,1.79
129,2.24,1204,682,153.43,1.00
130,10.30,1456,247,60.95,1.79
131,6.71,1060,305,26.57,1.79
132,12.21,1403,1025,145.01,2.00
133,10.00,1338,664,53.13,1.94
134,5.10,1211,291,168.69,1.00
135,12.08,1456,702,65.56,2.11
136,3.16,1211,440,161.57,1.00
137,11.18,1388,810,100.30,1.99
138,9.43,165,486,32.01,1.79
139,2.83,1559,569,135.00,1.41
140,8.49,731,664,45.00,1.41
141,7.28,575,469,15.95,1.97
142,8.06,604,388,60.26,1.79
143,2.83,511,932,45.00,1.41
144,10.77,130,399,111.80,2.11
145,4.47,564,425,26.57,1.90
146,21.02,919,929,177.27,1.00
147,8.25,1186,400,165.96,1.94
148,4.24,533,348,45.00,1.41
149,12.53,93,439,118.61,1.79
150,5.10,1253,840,101.31,1.00
151,5.39,475,462,158.20,1.94
152,8.94,678,537,63.43,2.04
153,4.47,790,806,26.57,1.90
154,3.61,1128,771,146.31,1.79
155,3.61,1138,778,146.31,1.79
156,21.02,426,532,92.73,1.00
157,10.63,615,985,138.81,2.03
158,5.00,852,810,143.13,1.94
159,5.39,1139,602,158.20,1.94
160,12.08,890,665,114.44,2.10
161,8.54,719,512,110.56,1.90
162,5.39,725,528,111.80,1.90
163,3.16,1247,307,108.43,1.00
164,5.83,542,954,59.04,1.79
165,17.80,129,636,141.84,2.11
166,19.42,1072,424,11.89,2.05
167,6.71,1172,583,63.43,1.90
168,6.32,604,631,71.57,1.94
169,6.32,1590,1024,71.57,1.94
170,7.07,639,832,135.00,1.41
171,1.41,651,842,135.00,1.00
172,5.39,1266,397,111.80,1.90
173,4.47,1270,414,116.57,1.90
174,6.32,1201,1153,18.43,1.96
175,7.62,138,736,66.80,1.94
176,4.47,1089,709,153.43,1.79
177,6.40,1146,869,128.66,2.00
178,2.83,1249,1081,135.00,1.41
179,7.07,1297,578,98.13,1.00
180,7.28,1304,827,105.95,1.96
181,2.24,593,575,153.43,1.00
182,10.82,701,661,146.31,2.06
183,14.32,68,752,24.78,2.04
184,9.22,1167,632,130.60,2.00
185,18.25,487,546,99.46,1.99
186,11.18,367,660,79.70,1.97
187,5.83,290,579,59.04,1.79
188,13.45,607,648,131.99,2.07
189,2.24,1279,1062,116.57,1.00
190,1.41,183,751,135.00,1.00
191,7.28,1239,1164,105.95,1.94
192,4.47,485,379,153.43,1.90
193,13.04,20,247,32.47,2.12
194,5.83,14,251,30.96,1.79
195,4.47,885,777,116.57,1.79
196,19.31,910,963,158.75,2.11
197,1.41,598,855,135.00,1.00
198,1.41,48,262,135.00,1.00
199,4.24,36,275,45.00,1.41
200,2.24,1517,706,116.57,1.00
201,5.10,477,423,168.69,1.00
202,2.24,169,596,153.43,1.00
203,10.05,1030,756,174.29,1.00
204,8.25,1411,577,104.04,1.96
205,5.66,599,881,45.00,1.41
206,1.41,593,888,135.00,1.00
207,6.71,583,784,26.57,1.79
208,6.40,594,910,141.34,1.94
209,19.42,566,649,101.89,2.05
210,15.13,1557,688,97.59,1.98
211,16.12,111,700,172.87,1.99
212,2.24,277,644,116.57,1.00
213,3.61,274,654,56.31,1.79
214,21.47,411,672,27.76,1.79
215,4.12,901,745,165.96,1.00
216,11.70,254,627,19.98,1.94
217,10.44,1232,658,106.70,1.94
218,4.47,723,552,116.57,1.79
219,13.45,554,632,138.01,2.05
220,1.41,65,428,135.00,1.00
221,11.18,787,736,153.43,2.10
222,6.08,556,388,170.54,1.00
223,11.18,722,539,79.70,1.97
224,21.84,648,655,15.95,1.94
225,6.32,965,437,108.43,1.90
226,5.10,974,953,101.31,1.00
227,7.62,954,421,113.20,1.94
228,4.47,990,846,153.43,1.79
229,2.83,1002,402,135.00,1.41
230,10.44,1424,687,73.30,1.94
231,2.24,1423,691,116.57,1.00
232,9.49,942,776,71.57,1.94
233,4.47,1402,1086,26.57,1.90
234,5.00,1006,1036,53.13,1.94
235,1.41,261,557,135.00,1.00
236,15.13,612,680,97.59,1.99
237,3.16,968,676,161.57,1.00
238,6.32,979,678,161.57,1.90
239,9.22,411,524,139.40,2.00
240,3.61,422,533,146.31,1.79
241,4.24,742,704,135.00,1.41
242,7.62,255,553,156.80,1.94
243,17.72,1315,355,73.61,1.94
244,9.22,82,363,139.40,2.00
245,7.21,809,676,56.31,2.00
246,1.41,1077,364,135.00,1.00
247,5.83,643,704,149.04,1.94
248,19.85,1313,444,40.91,2.07
249,5.83,458,748,30.96,1.79
250,10.77,850,688,68.20,2.04
251,4.12,1474,795,104.04,1.00
252,12.37,1672,863,75.96,1.94
253,4.47,1670,869,63.43,1.79
254,21.40,408,674,37.41,2.00
255,11.18,566,597,100.30,1.97
256,12.08,962,717,155.56,2.11
257,3.61,855,908,123.69,1.79
258,2.83,960,805,45.00,1.41
259,4.47,1110,669,26.57,1.79
260,3.16,1375,584,108.43,1.00
261,3.16,1375,596,108.43,1.00
262,2.83,954,464,45.00,1.41
263,5.39,1216,325,158.20,1.94
264,8.25,1222,326,165.96,1.94
265,1.41,990,895,135.00,1.00
266,2.24,1369,851,153.43,1.00
267,9.22,745,803,139.40,2.00
268,8.25,890,1113,104.04,1.97
269,4.12,1227,724,104.04,1.00
270,4.47,642,963,153.43,1.79
271,2.24,1195,225,153.43,1.00
272,14.87,1020,726,19.65,1.90
273,5.66,768,553,135.00,1.41
274,20.62,97,372,22.83,2.15
275,3.16,968,676,161.57,1.00
276,3.16,980,677,161.57,1.00
277,4.47,501,538,26.57,1.90
278,3.16,494,538,161.57,1.00
279,8.54,1527,742,110.56,1.94
280,4.47,544,879,116.57,1.90
281,2.83,984,754,45.00,1.41
282,18.03,559,525,93.18,1.00
283,3.61,487,661,33.69,1.79
284,4.24,933,753,135.00,1.41
285,12.81,1188,801,141.34,2.03
286,10.63,1281,653,138.81,2.00
287,7.07,649,293,98.13,1.00
288,2.83,318,511,45.00,1.41
289,8.06,1141,638,29.74,1.79
290,8.94,1181,434,153.43,2.04
291,8.06,558,748,29.74,2.06
292,2.24,723,568,116.57,1.00
293,4.47,1107,638,153.43,1.90
294,21.21,240,576,135.00,1.41
295,5.39,830,579,21.80,1.90
296,9.43,52,446,122.01,1.79
297,21.02,939,965,64.65,2.13
298,5.10,619,910,168.69,1.00
299,3.16,587,613,161.57,1.00
300,11.40,991,667,74.74,1.97
301,6.08,1572,935,99.46,1.00
302,4.47,971,878,26.57,1.79
303,3.61,418,442,33.69,1.79
304,6.32,1329,685,108.43,1.96
305,4.12,1331,701,104.04,1.00
306,3.16,676,760,108.43,1.00
307,2.24,786,654,116.57,1.00
