 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
168,6.40,1039,1481,128.66,1.94
169,13.04,1636,1016,94.40,1.00
170,7.28,788,1108,164.05,1.97
171,4.47,1276,267,26.57,1.79
172,6.71,521,1050,116.57,1.94
173,8.25,891,1372,104.04,1.98
174,3.61,936,1532,123.69,1.79
175,4.47,465,246,116.57,1.90
176,9.43,945,214,32.01,2.06
177,3.61,896,823,123.69,1.79
178,1.41,1361,918,135.00,1.00
179,21.93,384,1106,136.85,2.07
180,8.94,604,225,153.43,2.04
181,10.77,1164,1152,158.20,1.90
182,2.83,662,1032,135.00,1.41
183,7.81,904,1145,50.19,2.00
184,3.61,893,743,123.69,1.79
185,12.65,534,537,18.43,2.06
186,4.24,466,1295,135.00,1.41
187,9.49,591,1054,161.57,1.94
188,5.00,504,211,143.13,1.94
189,4.12,1088,218,104.04,1.00
190,21.59,682,402,76.61,1.96
191,4.47,1413,357,26.57,1.79
192,3.61,1119,1198,146.31,1.79
193,10.77,974,240,68.20,1.94
194,9.85,815,421,156.04,2.04
195,3.61,524,1330,146.31,1.79
196,5.39,434,858,68.20,1.90
197,12.04,850,145,41.63,2.03
198,7.81,1145,1302,129.81,2.00
199,1.41,966,1371,135.00,1.00
200,3.61,1347,271,33.69,1.79
201,4.47,982,1075,63.43,1.90
202,6.71,1209,1482,116.57,1.94
203,5.83,323,1174,59.04,1.79
204,2.24,682,825,116.57,1.00
205,11.18,1257,1136,169.70,1.97
206,3.61,1388,988,33.69,1.79
207,2.24,390,1059,116.57,1.00
208,7.07,1099,1225,135.00,1.41
209,11.40,699,416,15.26,1.97
210,12.04,544,237,131.63,2.07
211,11.40,749,188,105.26,1.96
212,4.12,1508,844,165.96,1.00
213,2.83,573,1338,135.00,1.41
214,5.10,478,471,168.69,1.00
215,4.12,438,1084,104.04,1.00
216,11.70,701,19,70.02,2.06
217,2.83,1108,1492,135.00,1.41
218,7.62,547,1011,113.20,1.90
219,1.41,550,1019,135.00,1.00
220,1.41,884,588,135.00,1.00
221,3.16,395,1120,108.43,1.00
222,12.65,574,699,71.57,1.94
223,2.24,1097,1483,153.43,1.00
224,3.61,350,509,56.31,1.79
225,2.24,347,513,116.57,1.00
226,19.31,776,994,21.25,2.11
227,3.16,1431,934,161.57,1.00
228,11.18,445,333,63.43,2.04
229,7.62,901,908,156.80,1.90
230,4.47,865,949,116.57,1.79
231,8.54,347,461,69.44,1.90
232,4.24,855,584,135.00,1.41
233,2.83,862,592,135.00,1.41
234,21.38,399,1117,10.78,2.05
235,12.53,477,1225,28.61,2.11
236,3.61,879,119,33.69,1.79
237,1.41,748,524,135.00,1.00
238,10.00,621,185,143.13,1.94
239,1.41,844,917,135.00,1.00
240,7.07,852,926,135.00,1.41
241,4.12,1265,282,104.04,1.00
242,3.61,186,1094,146.31,1.79
243,7.28,555,113,164.05,1.94
244,2.83,1353,212,45.00,1.41
245,2.24,1082,1017,153.43,1.00
246,8.94,1019,431,63.43,1.79
247,2.24,1476,704,153.43,1.00
248,2.83,405,246,45.00,1.41
249,21.38,1167,393,100.78,2.05
250,7.62,577,92,66.80,1.90
251,12.08,644,984,65.56,2.04
252,4.24,1271,937,45.00,1.41
253,3.61,988,1098,56.31,1.79
254,3.61,982,1114,56.31,1.79
255,4.47,756,175,153.43,1.90
256,11.40,367,1145,164.74,1.94
257,6.71,877,419,153.43,1.90
258,7.62,1009,1089,23.20,1.90
259,7.28,546,739,15.95,1.94
260,2.83,584,290,135.00,1.41
261,3.61,1059,851,146.31,1.79
262,3.16,1324,383,108.43,1.00
263,5.10,1347,222,101.31,1.00
264,3.61,236,1002,146.31,1.79
265,8.60,1033,262,54.46,2.00
266,7.28,1657,1092,164.05,1.94
267,2.24,1665,1094,153.43,1.00
268,3.16,1669,1095,161.57,1.00
269,3.16,1674,1096,161.57,1.00
270,2.83,1405,982,135.00,1.41
271,8.25,595,622,75.96,1.97
272,7.81,426,1125,129.81,1.94
273,7.07,964,1316,98.13,1.00
274,6.71,374,474,26.57,1.90
275,2.24,360,477,153.43,1.00
276,8.06,441,571,60.26,1.79
277,3.61,594,200,56.31,1.79
278,20.52,1652,1085,136.97,2.07
279,1.41,369,556,135.00,1.00
280,15.81,374,559,145.30,2.12
281,19.70,610,1016,113.96,2.15
282,7.07,628,911,45.00,1.41
283,9.22,657,1070,12.53,1.98
284,8.25,1118,987,104.04,1.94
285,7.07,991,901,171.87,1.00
286,11.66,1232,438,59.04,2.14
287,4.47,1327,1329,116.57,1.79
288,10.30,578,439,150.95,2.04
289,4.24,368,1077,45.00,1.41
290,2.83,358,1084,45.00,1.41
291,13.15,913,918,98.75,1.98
292,6.71,348,633,63.43,1.90
293,9.22,386,664,40.60,2.00
294,1.41,735,296,135.00,1.00
295,8.25,747,297,165.96,1.96
296,9.06,525,1118,96.34,1.00
297,7.62,284,372,23.20,1.94
298,5.66,471,1329,45.00,1.41
299,8.60,920,191,54.46,2.00
300,5.66,393,528,135.00,1.41
301,1.41,800,824,135.00,1.00
302,5.00,403,599,126.87,1.79
303,5.00,800,1148,53.13,1.79
304,18.03,990,1147,19.44,1.90
305,1.41,1391,913,135.00,1.00
306,5.00,1397,916,143.13,1.79
307,9.43,1150,1181,122.01,1.79
308,3.61,1392,351,123.69,1.79
309,2.83,1458,734,135.00,1.41
310,5.39,614,767,68.20,1.90
311,7.07,488,147,171.87,1.00
312,11.40,748,473,164.74,1.96
313,1.41,594,196,135.00,1.00
314,10.30,398,560,60.95,1.79
315,6.71,451,451,26.57,1.90
316,1.41,980,1111,135.00,1.00
317,5.39,974,1114,21.80,1.90
318,2.83,232,494,45.00,1.41
319,16.64,402,1151,147.26,2.11
320,7.21,448,1143,123.69,2.06
321,3.61,1301,1247,146.31,1.79
322,6.40,518,179,141.34,1.94
323,4.12,1716,1001,165.96,1.00
324,15.81,1758,964,145.30,2.09
325,4.47,306,622,116.57,1.79
326,3.16,441,913,161.57,1.00
327,6.71,767,452,116.57,1.79
328,9.22,636,717,77.47,1.98
329,4.24,491,1265,135.00,1.41
330,7.81,708,952,129.81,2.00
331,3.16,334,1026,161.57,1.00
332,3.16,321,1027,161.57,1.00
333,5.66,478,501,135.00,1.41
334,8.25,849,1076,75.96,1.94
335,9.49,1251,1054,18.43,1.94
336,16.28,617,1003,10.62,1.99
337,16.12,861,560,7.13,1.99
338,9.85,522,516,66.04,2.10
339,5.00,531,926,126.87,1.79
340,3.61,538,941,123.69,1.79
341,2.83,530,97,135.00,1.41
342,8.06,722,523,150.26,1.79
343,2.83,730,938,135.00,1.41
344,4.47,1080,899,116.57,1.79
345,3.61,1333,967,146.31,1.79
346,3.61,583,782,56.31,1.79
347,5.83,588,487,120.96,1.79
348,10.00,741,390,143.13,1.94
349,2.83,1175,1465,135.00,1.41
350,17.12,1051,446,83.29,1.99
351,6.32,414,352,161.57,1.96
352,5.39,427,355,158.20,1.90
353,1.41,1131,914,135.00,1.00
354,3.16,660,676,108.43,1.00
355,1.41,596,462,135.00,1.00
356,7.21,545,142,146.31,1.94
357,3.16,1156,1077,161.57,1.00
358,3.16,1289,902,161.57,1.00
359,6.71,1417,340,63.43,1.79
360,4.47,257,514,63.43,1.79
361,10.82,661,904,146.31,1.94
362,3.16,1259,1277,161.57,1.00
363,5.66,480,927,135.00,1.41
364,7.21,790,1026,33.69,1.94
365,6.71,1199,1391,116.57,1.79
366,6.71,1233,1425,153.43,1.79
367,10.20,677,74,11.31,1.96
368,1.41,386,1341,135.00,1.00
369,4.47,475,912,26.57,1.79
370,3.61,884,898,123.69,1.79
371,4.47,547,1140,116.57,1.79
372,20.62,372,1101,140.91,2.03
373,2.83,415,1318,135.00,1.41
374,11.40,556,568,52.13,2.05
375,4.12,1409,639,165.96,1.00
376,1.41,293,1127,135.00,1.00
377,8.06,368,1083,29.74,1.79
378,8.06,723,883,60.26,1.79
379,2.83,718,892,45.00,1.41
380,3.16,852,962,108.43,1.00
381,6.32,1582,820,108.43,1.94
382,3.61,699,199,123.69,1.79
383,2.24,923,729,116.57,1.00
384,1.41,1085,1011,135.00,1.00
385,2.83,651,554,45.00,1.41
386,5.00,1304,971,143.13,1.94
387,8.06,635,921,119.74,1.79
388,16.12,700,227,119.74,1.79
389,7.28,308,984,15.95,1.94
390,10.44,590,412,163.30,1.94
391,10.44,1007,249,73.30,1.94
392,4.12,1136,1089,104.04,1.00
393,17.20,671,1037,125.54,2.13
394,22.02,1146,1367,129.47,2.11
395,3.61,215,569,56.31,1.79
396,2.83,539,854,45.00,1.41
397,8.60,894,175,54.46,2.00
398,5.39,1121,303,111.80,1.90
399,17.09,617,946,20.56,2.11
400,8.06,669,125,150.26,1.79
401,9.85,813,1391,113.96,1.90
402,6.08,693,816,170.54,1.00
403,19.10,439,1174,42.88,2.07
404,3.16,1077,1485,161.57,1.00
405,6.32,506,1370,18.43,1.90
406,15.23,585,935,156.80,2.11
407,6.32,1151,543,71.57,1.90
408,6.32,1414,609,161.57,1.90
409,4.47,300,542,63.43,1.79
410,15.30,1252,1085,11.31,1.98
411,2.24,643,363,116.57,1.00
412,1.41,1264,721,135.00,1.00
413,8.25,885,542,75.96,1.96
414,4.12,841,223,165.96,1.00
415,1.41,501,1030,135.00,1.00
416,9.22,333,1026,49.40,2.00
417,7.07,1176,1408,135.00,1.41
418,6.71,1218,1381,116.57,2.04
419,8.94,604,710,63.43,2.04
420,12.73,593,907,45.00,1.41
421,4.12,515,275,165.96,1.00
422,14.04,521,275,175.91,1.00
423,5.83,626,617,120.96,1.79
424,3.61,656,862,123.69,1.79
425,6.32,664,100,71.57,1.94
426,9.22,882,922,49.40,2.00
427,8.49,1150,1413,45.00,1.41
428,1.41,1292,901,135.00,1.00
429,2.83,1300,910,135.00,1.41
430,5.00,318,464,143.13,1.79
431,13.60,499,496,53.97,2.09
432,8.94,419,691,63.43,2.04
433,4.47,608,899,153.43,1.79
434,14.32,615,902,155.22,2.10
435,8.60,630,567,144.46,2.00
436,7.62,657,766,113.20,2.04
437,7.62,938,938,23.20,2.04
438,7.62,1076,1467,23.20,1.90
439,1.41,1064,1470,135.00,1.00
440,6.32,862,171,161.57,1.94
441,9.49,1065,454,18.43,1.94
442,10.00,568,1024,53.13,2.00
443,14.32,775,1003,102.09,2.06
444,8.06,817,1341,172.87,1.00
445,2.24,1278,1508,116.57,1.00
446,4.47,782,468,63.43,1.90
447,21.26,950,1132,138.81,2.07
448,2.24,1293,745,153.43,1.00
449,8.94,1349,424,26.57,1.79
450,2.83,339,1117,45.00,1.41
451,3.61,1635,827,56.31,1.79
452,1.41,307,1088,135.00,1.00
453,5.66,979,1508,135.00,1.41
454,7.81,688,546,129.81,1.94
455,13.15,570,952,81.25,1.99
456,13.45,593,163,138.01,2.05
457,5.00,729,1021,36.87,1.94
458,2.83,776,838,135.00,1.41
459,3.61,816,455,146.31,1.79
460,5.39,1149,1477,111.80,1.90
461,9.90,628,126,135.00,1.41
462,11.66,655,145,120.96,2.11
463,6.40,691,856,141.34,1.94
464,19.92,910,1168,107.53,2.11
465,8.54,734,761,69.44,1.90
466,20.22,1033,1075,98.53,1.99
467,2.83,277,550,135.00,1.41
468,13.60,666,263,126.03,2.00
469,15.23,1195,416,66.80,2.11
470,6.40,1780,864,38.66,1.94
471,11.18,539,673,100.30,1.98
472,2.83,1356,710,45.00,1.41
473,7.07,1378,476,135.00,1.41
474,3.61,478,334,56.31,1.79
475,8.06,472,346,60.26,1.79
476,6.40,535,714,38.66,1.94
477,7.21,1351,1224,123.69,1.94
478,7.28,584,1039,105.95,1.94
479,3.16,452,1352,108.43,1.00
480,4.47,1268,1112,63.43,1.79
481,15.30,996,1174,11.31,1.98
482,10.20,1049,281,11.31,1.98
483,4.24,686,91,135.00,1.41
484,3.61,409,255,123.69,1.79
485,2.24,413,263,116.57,1.00
486,15.65,620,862,153.43,1.79
487,3.61,1292,968,33.69,1.79
488,8.54,360,1228,110.56,1.97
489,4.12,1402,888,165.96,1.00
490,10.00,329,250,36.87,2.00
491,3.61,658,880,56.31,1.79
492,9.85,273,345,23.96,2.11
493,5.39,449,1091,158.20,1.90
494,3.61,752,1396,146.31,1.79
495,5.39,632,866,111.80,1.90
496,2.24,634,876,116.57,1.00
497,5.39,635,882,111.80,1.90
498,11.18,1273,1411,116.57,1.79
499,20.22,1060,1061,171.47,1.99
500,7.62,666,1402,23.20,1.90
501,12.17,366,1276,9.46,1.98
502,9.06,908,151,96.34,1.00
503,13.15,1555,835,81.25,1.98
504,2.83,408,256,135.00,1.41
505,2.83,414,262,135.00,1.41
506,5.00,1011,921,53.13,1.79
507,2.83,452,928,135.00,1.41
508,12.08,655,354,155.56,2.10
509,5.83,1333,110,59.04,1.79
510,2.24,988,1367,116.57,1.00
511,1.41,1293,156,135.00,1.00
512,3.16,719,90,108.43,1.00
513,5.83,621,450,120.96,1.79
514,8.06,644,106,150.26,1.79
515,8.60,652,825,125.54,1.94
516,5.83,1081,423,149.04,1.79
517,17.69,1126,1402,137.29,2.07
518,18.03,366,1220,56.31,2.12
519,7.81,564,1360,39.81,2.03
520,8.25,648,567,104.04,1.96
521,8.06,876,963,150.26,1.79
522,20.40,761,266,101.31,1.97
523,9.22,823,1315,167.47,1.96
524,3.16,1032,323,161.57,1.00
525,3.16,1394,462,161.57,1.00
526,5.39,1610,817,111.80,1.94
527,16.28,1176,1321,169.38,1.97
528,7.21,461,588,33.69,1.79
529,16.12,1103,1005,119.74,2.14
530,2.83,1291,1363,45.00,1.41
531,2.83,1717,1025,135.00,1.41
532,5.66,1724,1032,135.00,1.41
533,8.54,442,404,159.44,1.96
534,1.41,1691,860,135.00,1.00
535,1.41,1694,873,135.00,1.00
536,9.43,468,318,147.99,1.79
537,6.40,1291,295,51.34,1.94
538,13.00,464,210,67.38,2.11
539,6.32,1306,1311,161.57,1.90
540,13.00,421,326,157.38,2.04
541,5.83,826,1386,30.96,1.79
542,10.30,816,1390,29.05,1.79
543,7.07,851,909,98.13,1.00
544,14.14,1692,861,81.87,1.98
545,3.61,430,235,123.69,1.79
546,3.61,434,243,123.69,1.79
547,4.12,679,603,104.04,1.00
548,7.81,848,198,140.19,2.00
549,2.24,909,1549,116.57,1.00
550,14.56,1666,859,74.05,1.96
551,17.46,815,405,76.76,1.96
552,12.21,629,305,145.01,2.06
553,1.41,1486,679,135.00,1.00
554,6.71,1412,686,26.57,2.04
555,4.47,1572,748,26.57,1.79
556,6.32,288,1107,161.57,1.94
557,12.81,622,863,141.34,2.05
558,2.83,637,875,135.00,1.41
559,8.06,770,386,60.26,1.79
560,5.83,748,433,149.04,1.79
561,1.41,1073,450,135.00,1.00
562,5.83,1088,840,59.04,1.79
563,2.24,1112,1543,116.57,1.00
564,2.24,599,772,153.43,1.00
565,5.00,460,653,143.13,1.79
566,9.90,723,883,45.00,1.41
567,2.24,1200,919,153.43,1.00
568,10.44,366,611,163.30,1.94
569,5.39,694,818,21.80,1.94
570,2.24,1253,923,153.43,1.00
571,7.62,1773,943,156.80,1.94
572,8.54,550,708,159.44,1.94
573,10.44,1091,980,106.70,1.94
574,3.61,339,1061,56.31,1.79
575,9.22,1086,1007,40.60,2.00
576,10.30,527,381,119.05,1.79
577,2.24,336,487,153.43,1.00
578,8.94,1205,1442,116.57,2.04
579,9.06,595,255,173.66,1.00
580,12.21,634,1028,34.99,1.94
581,2.83,1462,749,135.00,1.41
582,9.06,524,343,96.34,1.00
583,5.10,523,358,101.31,1.00
584,3.61,355,440,33.69,1.79
585,3.61,1730,1108,123.69,1.79
586,7.21,1737,1120,123.69,1.79
587,9.49,580,971,161.57,1.94
588,5.00,632,681,126.87,1.94
589,8.49,297,498,135.00,1.41
590,10.05,417,380,174.29,1.00
591,7.07,544,1224,135.00,1.41
592,6.40,713,325,141.34,1.94
593,3.61,461,857,123.69,1.79
594,9.49,404,399,71.57,1.94
595,13.34,560,655,167.01,1.97
596,1.41,1240,1039,135.00,1.00
597,1.41,1738,992,135.00,1.00
598,3.61,623,781,146.31,1.79
599,7.81,437,299,129.81,1.94
600,1.41,443,308,135.00,1.00
601,3.61,335,1205,56.31,1.79
602,6.32,377,298,161.57,1.90
603,4.47,449,1314,63.43,1.90
604,6.32,525,690,18.43,1.90
605,5.39,818,1058,68.20,1.90
606,1.41,1243,641,135.00,1.00
607,5.39,698,877,68.20,1.90
608,4.47,576,1207,153.43,1.79
609,4.47,300,1085,116.57,1.79
610,13.15,367,1240,171.25,1.99
611,9.22,563,1118,77.47,1.98
612,2.24,1358,109,116.57,1.00
613,5.00,305,1005,143.13,1.94
614,18.44,441,387,102.53,1.96
615,3.61,503,310,56.31,1.79
616,19.92,529,959,72.47,2.11
617,5.39,1429,360,21.80,1.90
618,6.08,264,282,170.54,1.00
619,2.24,508,1394,153.43,1.00
620,5.10,513,1394,168.69,1.00
621,1.41,497,981,135.00,1.00
622,4.24,518,1339,135.00,1.41
623,2.83,1222,405,135.00,1.41
624,1.41,1402,441,135.00,1.00
625,6.71,554,996,63.43,2.04
626,3.16,632,157,108.43,1.00
627,4.12,634,168,104.04,1.00
628,3.61,840,1405,33.69,1.79
629,6.08,498,1116,99.46,1.00
630,8.25,616,431,104.04,1.96
631,3.16,1403,892,161.57,1.00
632,2.24,1413,894,153.43,1.00
633,5.00,603,1351,53.13,1.79
634,10.63,671,1037,138.81,2.03
635,2.83,682,1046,135.00,1.41
636,3.61,1485,711,146.31,1.79
637,3.61,567,918,146.31,1.79
638,5.39,1423,853,158.20,1.90
639,6.71,375,852,153.43,1.90
640,10.30,517,955,150.95,1.79
641,3.61,1369,1314,33.69,1.79
642,8.25,1356,1315,14.04,1.96
643,6.32,1325,1177,71.57,1.96
644,2.24,289,520,116.57,1.00
645,4.12,476,955,165.96,1.00
646,12.08,1000,1207,155.56,2.11
647,5.39,577,1188,21.80,1.90
648,4.47,1437,1061,153.43,1.90
649,1.41,329,285,135.00,1.00
650,1.41,420,353,135.00,1.00
651,7.07,425,358,135.00,1.41
652,8.94,1249,1439,116.57,1.79
653,6.32,888,350,161.57,1.90
654,20.81,422,1158,54.78,2.13
655,4.47,374,331,26.57,1.90
656,5.00,517,746,36.87,1.79
657,9.43,1009,1084,57.99,2.06
658,5.66,1070,1553,135.00,1.41
659,1.41,1402,617,135.00,1.00
660,14.56,554,216,164.05,1.94
661,5.10,611,686,101.31,1.00
662,21.10,1007,1090,148.57,2.16
663,10.77,1341,401,21.80,2.04
664,15.00,356,583,143.13,2.09
665,5.00,457,615,143.13,1.94
666,10.30,528,1204,60.95,2.04
