 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.41,1665,441,135.00,1.00
2,14.42,1669,444,146.31,2.12
3,3.16,1778,794,161.57,1.00
4,5.39,1103,1007,158.20,1.90
5,16.40,465,657,37.57,2.00
6,7.62,1071,636,113.20,1.94
7,5.10,1446,862,168.69,1.00
8,6.32,760,987,71.57,1.96
9,4.12,423,908,165.96,1.00
10,10.30,935,1137,29.05,1.79
11,4.24,1608,1095,135.00,1.41
12,20.22,33,460,8.53,1.99
13,8.25,585,980,104.04,1.96
14,7.07,1368,1007,135.00,1.41
15,5.83,1606,552,120.96,1.79
16,6.71,1609,559,116.57,1.90
17,1.41,1282,633,135.00,1.00
18,7.07,1493,1190,98.13,1.00
19,6.40,748,620,38.66,2.00
20,8.25,493,429,165.96,1.97
21,5.83,579,927,149.04,1.79
22,1.41,967,720,135.00,1.00
23,9.22,891,1124,139.40,2.00
24,13.15,596,945,98.75,1.98
25,13.93,1182,745,158.96,2.11
26,3.16,1197,751,161.57,1.00
27,5.00,1579,936,126.87,1.79
28,21.02,22,621,177.27,1.00
29,10.00,77,494,53.13,2.00
30,9.22,315,760,167.47,1.97
31,3.61,1257,1098,33.69,1.79
32,9.06,684,1096,96.34,1.00
33,10.20,1705,892,78.69,1.97
34,2.24,338,434,153.43,1.00
35,8.94,341,435,153.43,1.79
36,5.83,700,1136,120.96,1.90
37,7.62,768,867,66.80,1.94
38,3.61,766,876,56.31,1.79
39,10.63,430,692,41.19,2.03
40,17.12,1240,1017,173.29,1.99
41,8.25,1571,1094,165.96,1.94
42,8.94,693,620,153.43,1.79
43,3.61,619,617,33.69,1.79
44,7.62,859,1072,113.20,1.90
45,21.02,1184,816,25.35,2.15
46,2.24,804,1124,116.57,1.00
47,14.32,912,1063,167.91,1.99
48,3.61,500,336,146.31,1.79
49,3.61,637,1124,33.69,1.79
50,1.41,837,1147,135.00,1.00
51,15.52,1774,1054,165.07,1.96
52,4.24,1555,602,135.00,1.41
53,5.00,1564,610,143.13,1.94
54,14.04,402,524,94.09,1.00
55,5.10,168,507,101.31,1.00
56,9.06,167,517,96.34,1.00
57,19.10,461,651,42.88,2.07
58,10.63,453,824,131.19,2.03
59,1.41,1021,777,135.00,1.00
60,8.06,1003,787,29.74,1.79
61,13.42,1567,630,116.57,2.13
62,20.88,53,529,106.70,1.94
63,17.26,1589,818,10.01,2.05
64,2.24,1740,966,153.43,1.00
65,2.24,1745,968,153.43,1.00
66,8.25,512,994,104.04,1.97
67,4.24,1019,776,45.00,1.41
68,14.56,1090,943,105.95,1.96
69,1.41,1138,752,135.00,1.00
70,4.12,175,571,104.04,1.00
71,2.83,1474,1159,135.00,1.41
72,16.28,511,584,79.38,1.99
73,9.22,599,581,77.47,1.96
74,10.00,1410,669,36.87,1.94
75,2.83,539,835,45.00,1.41
76,22.63,685,928,135.00,1.41
77,11.18,1455,695,79.70,1.99
78,17.89,846,812,26.57,1.79
79,5.00,394,613,36.87,1.94
80,6.32,1274,828,108.43,1.96
81,8.25,186,842,75.96,1.94
82,20.22,25,620,8.53,1.99
83,14.56,1237,920,15.95,2.06
84,10.82,550,713,56.31,2.06
85,7.81,55,524,50.19,2.00
86,7.21,246,555,146.31,1.79
87,19.42,1275,934,101.89,2.05
88,10.20,324,683,168.69,1.98
89,4.47,935,829,63.43,1.79
90,13.34,300,467,102.99,1.96
91,12.04,1124,898,41.63,2.07
92,3.61,886,818,123.69,1.79
93,7.81,745,898,50.19,2.00
94,17.46,892,953,23.63,2.11
95,3.61,299,442,56.31,1.79
96,21.63,43,720,56.31,2.12
97,7.21,1267,1063,56.31,1.79
98,6.71,1214,1099,153.43,1.79
99,16.28,541,781,42.51,2.05
100,5.00,1115,766,53.13,1.94
101,11.18,1289,649,100.30,1.97
102,10.77,1752,882,158.20,2.11
103,13.04,463,568,94.40,1.00
104,5.66,328,822,45.00,1.41
105,2.83,881,1174,45.00,1.41
106,21.63,1709,902,123.69,2.12
107,15.52,992,943,75.07,1.96
108,1.41,1718,1011,135.00,1.00
109,5.39,1578,608,21.80,1.94
110,2.83,1137,855,135.00,1.41
111,4.12,1015,919,165.96,1.00
112,19.21,1357,1133,141.34,2.03
113,5.39,1469,992,111.80,1.90
114,11.18,455,522,100.30,1.99
115,8.06,456,534,97.13,1.00
116,3.16,900,1048,161.57,1.00
117,6.40,261,698,141.34,1.94
118,21.59,234,535,76.61,1.96
119,20.22,21,571,8.53,1.99
120,7.62,864,947,66.80,2.04
121,7.28,806,791,164.05,1.96
122,5.00,728,966,126.87,1.79
123,7.62,968,1053,66.80,1.90
124,18.68,1046,840,74.48,1.94
125,4.47,748,1077,153.43,1.79
126,12.81,1180,960,51.34,2.00
127,20.10,19,719,174.29,1.99
128,3.61,339,387,33.69,1.79
129,2.24,700,776,153.43,1.00
130,5.83,1281,902,30.96,1.79
131,17.26,1589,818,10.01,2.05
132,3.61,1068,860,146.31,1.79
133,13.04,1697,734,175.60,1.00
134,8.25,1785,704,165.96,1.94
135,4.47,1058,728,26.57,1.90
136,13.04,546,923,147.53,2.14
137,7.28,1203,1176,74.05,1.96
138,17.46,874,873,13.24,1.96
139,5.00,1222,911,143.13,1.79
140,2.83,1558,1021,135.00,1.41
141,3.61,1567,1026,146.31,1.79
142,3.61,54,654,56.31,1.79
143,4.47,51,662,63.43,1.79
144,1.41,1414,1020,135.00,1.00
145,1.41,969,954,135.00,1.00
146,4.12,1792,650,165.96,1.00
147,2.24,1783,651,153.43,1.00
148,1.41,1572,719,135.00,1.00
149,1.41,838,747,135.00,1.00
150,1.41,526,1002,135.00,1.00
151,1.41,1195,917,135.00,1.00
152,8.25,1193,937,75.96,1.96
153,15.30,1666,949,168.69,1.97
154,8.06,1074,818,150.26,1.79
155,2.83,1087,824,135.00,1.41
156,5.10,732,1017,101.31,1.00
157,18.68,1591,774,164.48,1.94
158,16.28,512,733,42.51,2.07
159,4.47,1147,635,63.43,1.79
160,5.83,1141,648,59.04,1.79
161,21.93,1759,951,43.15,2.07
162,5.00,457,1062,53.13,1.79
163,9.49,1158,777,108.43,1.96
164,7.21,1203,614,56.31,1.94
165,12.65,1567,1145,161.57,1.94
166,7.28,672,983,74.05,1.97
167,1.41,1545,985,135.00,1.00
168,4.47,1098,866,63.43,1.79
169,5.00,1094,873,53.13,1.79
170,8.94,1009,842,153.43,2.04
171,21.21,40,409,171.87,1.99
172,4.47,1712,1142,153.43,1.90
173,5.00,610,693,53.13,1.94
174,6.08,391,562,99.46,1.00
175,16.55,1620,889,25.02,2.13
176,2.24,1551,1174,116.57,1.00
177,2.83,1560,1185,135.00,1.41
178,22.67,147,493,131.42,2.07
179,6.71,298,469,116.57,1.79
180,5.39,182,611,111.80,1.94
181,2.83,511,614,45.00,1.41
182,13.89,1682,1028,59.74,1.79
183,4.24,234,427,45.00,1.41
184,8.06,1290,997,29.74,1.79
185,5.10,1377,633,101.31,1.00
186,2.24,1587,1179,116.57,1.00
187,3.16,555,587,108.43,1.00
188,7.21,845,998,123.69,1.79
189,3.16,77,624,161.57,1.00
190,4.12,90,624,165.96,1.00
191,7.07,860,879,45.00,1.41
192,2.83,852,887,45.00,1.41
193,1.41,1195,917,135.00,1.00
194,8.25,1193,937,75.96,1.96
195,20.22,21,668,171.47,1.99
196,9.90,1166,1160,45.00,1.41
197,7.62,1658,882,113.20,2.04
198,7.62,1663,894,113.20,2.04
199,5.39,1619,756,68.20,1.90
200,11.18,856,615,100.30,1.97
201,8.25,1151,558,75.96,1.96
202,2.24,1151,559,116.57,1.00
203,7.28,800,770,74.05,1.96
204,3.16,544,892,108.43,1.00
205,14.32,1509,995,114.78,2.13
206,5.39,475,720,68.20,1.90
207,2.24,471,730,116.57,1.00
208,4.12,706,1000,165.96,1.00
209,16.28,639,578,100.62,1.99
210,6.32,1170,1100,71.57,1.96
211,2.24,1660,1101,153.43,1.00
212,2.24,1676,1109,153.43,1.00
213,1.41,569,597,135.00,1.00
214,20.62,275,572,104.04,2.06
215,5.00,235,829,126.87,1.79
216,8.54,1024,887,110.56,2.04
217,6.40,1076,817,141.34,2.00
218,7.28,374,503,74.05,1.94
219,5.39,361,477,111.80,1.90
220,16.12,1662,990,172.87,1.99
221,8.94,844,901,116.57,1.79
222,5.39,239,470,68.20,1.90
223,9.06,122,516,96.34,1.00
224,2.24,1338,1057,153.43,1.00
225,8.25,508,970,104.04,1.94
226,21.19,1218,880,19.29,2.11
227,12.17,497,535,80.54,1.98
228,7.28,496,543,74.05,1.96
229,15.65,278,568,26.57,1.79
230,8.54,1149,611,159.44,1.90
231,2.83,305,807,135.00,1.41
232,5.00,272,519,126.87,1.79
233,4.12,430,592,165.96,1.00
234,17.72,1352,955,73.61,1.94
235,20.40,471,769,11.31,1.97
236,6.40,790,1101,128.66,1.94
237,2.24,1450,1079,116.57,1.00
238,4.47,734,915,63.43,1.90
239,8.60,449,1031,144.46,2.00
240,6.40,633,742,141.34,2.00
241,21.21,1752,960,45.00,1.41
242,1.41,1759,1071,135.00,1.00
243,3.61,1752,1085,56.31,1.79
244,6.71,197,452,63.43,1.90
245,6.32,1322,1069,108.43,1.94
246,9.85,1479,668,156.04,2.11
247,3.61,415,588,33.69,1.79
248,20.62,49,699,67.17,2.15
249,10.00,870,977,143.13,2.09
250,5.83,600,849,149.04,1.79
251,18.97,941,926,71.57,2.11
252,12.08,515,687,114.44,2.11
253,21.40,1547,623,142.59,2.00
254,18.44,1465,943,102.53,1.96
255,12.53,458,736,28.61,1.79
256,10.44,1527,965,73.30,1.97
257,5.39,499,783,68.20,1.90
258,3.61,494,799,56.31,1.79
259,7.21,290,671,146.31,1.79
260,4.47,304,680,153.43,1.79
261,11.40,593,880,164.74,1.94
262,6.08,1292,878,99.46,1.00
263,7.07,1701,799,98.13,1.00
264,9.22,1053,819,40.60,2.05
265,5.66,1046,826,45.00,1.41
266,5.83,1424,1060,59.04,1.79
267,4.47,1420,1070,63.43,1.79
268,17.49,298,566,30.96,2.11
269,5.66,144,850,135.00,1.41
270,9.22,822,708,49.40,2.05
271,12.08,1029,952,65.56,2.04
272,18.38,1088,823,112.38,2.15
273,1.41,1095,841,135.00,1.00
274,3.16,77,624,161.57,1.00
275,4.12,90,624,165.96,1.00
276,14.76,739,842,151.70,1.79
277,9.85,1357,963,156.04,2.10
278,3.16,389,480,161.57,1.00
279,12.17,1383,957,80.54,1.98
280,5.10,1382,959,101.31,1.00
281,6.40,785,699,128.66,2.00
282,6.32,1192,845,108.43,1.94
283,1.41,1172,600,135.00,1.00
284,7.81,846,889,50.19,1.94
285,6.40,1137,929,128.66,1.94
286,11.40,1143,936,127.87,2.03
287,1.41,711,794,135.00,1.00
288,1.41,558,870,135.00,1.00
289,5.83,1292,1140,30.96,1.94
290,4.47,1657,544,116.57,1.90
291,8.06,1686,1043,150.26,1.79
292,8.06,1697,1049,150.26,1.79
293,20.88,691,961,16.70,1.94
294,9.49,1756,1082,108.43,1.94
295,19.42,1320,952,78.11,2.05
296,5.10,1430,998,101.31,1.00
297,1.41,1238,875,135.00,1.00
298,6.40,1384,614,128.66,1.94
299,9.49,1235,627,71.57,1.94
300,1.41,1386,621,135.00,1.00
301,9.49,1396,623,161.57,1.96
302,9.43,61,240,122.01,2.06
303,1.41,1433,625,135.00,1.00
304,4.47,1419,632,26.57,1.79
305,3.16,634,1044,108.43,1.00
306,3.61,1625,747,56.31,1.79
307,8.60,1618,756,54.46,2.00
308,2.24,1525,1074,116.57,1.00
309,12.37,899,882,104.04,1.97
310,16.40,90,519,127.57,2.00
311,2.24,400,581,116.57,1.00
312,21.26,1773,938,48.81,2.07
313,20.00,1678,952,126.87,2.13
314,13.93,244,595,158.96,2.11
315,5.39,259,601,158.20,1.90
316,5.39,294,716,21.80,1.90
317,3.16,550,589,108.43,1.00
318,5.10,1301,956,168.69,1.00
319,8.60,419,716,54.46,1.94
320,3.16,1289,1137,161.57,1.00
321,2.24,548,941,116.57,1.00
322,18.68,543,962,74.48,1.94
323,4.12,746,1052,104.04,1.00
324,7.81,343,743,39.81,1.94
325,7.81,932,873,129.81,2.00
326,17.49,1551,617,120.96,2.11
327,2.24,1758,1089,116.57,1.00
328,15.13,478,799,172.41,1.99
329,5.83,530,931,30.96,1.79
330,10.82,579,725,56.31,2.12
331,7.28,38,485,164.05,1.94
332,1.41,633,671,135.00,1.00
333,7.62,1117,838,66.80,1.96
334,21.93,1764,879,46.85,2.07
335,8.06,189,724,97.13,1.00
336,3.61,431,589,146.31,1.79
337,20.25,481,593,20.22,2.11
338,9.49,809,830,18.43,1.94
339,7.28,1523,662,105.95,1.96
340,9.06,1385,945,96.34,1.00
341,4.12,1385,962,104.04,1.00
342,8.94,140,630,26.57,1.79
343,11.18,167,627,26.57,1.79
344,2.83,164,629,45.00,1.41
345,4.24,1404,1011,135.00,1.41
346,4.24,248,455,45.00,1.41
347,6.32,801,711,18.43,1.94
348,15.26,667,567,121.61,2.11
349,9.22,365,476,139.40,2.05
350,5.83,1393,995,59.04,1.79
351,8.94,474,837,153.43,1.79
352,2.24,491,845,153.43,1.00
353,6.71,503,942,116.57,1.90
354,4.47,249,456,26.57,1.79
355,3.61,258,752,33.69,1.79
356,4.24,1246,862,45.00,1.41
357,6.32,660,1137,18.43,1.94
358,2.24,639,1078,153.43,1.00
359,2.24,639,1078,153.43,1.00
360,16.55,1596,674,115.02,2.13
361,4.12,989,1069,165.96,1.00
362,3.61,43,380,56.31,1.79
363,3.16,1663,894,108.43,1.00
364,8.25,427,473,75.96,1.96
365,5.39,1141,814,21.80,1.90
366,12.08,1412,611,65.56,2.04
367,7.62,1617,1130,113.20,1.94
368,7.28,822,879,74.05,1.96
369,5.10,1199,978,168.69,1.00
370,5.10,126,666,101.31,1.00
371,2.24,125,672,116.57,1.00
372,18.79,882,910,25.20,2.15
373,8.06,985,815,60.26,2.06
374,15.00,1361,630,143.13,2.00
375,11.40,1432,960,74.74,1.97
376,3.16,224,570,108.43,1.00
377,10.77,820,682,111.80,1.90
378,2.24,827,701,116.57,1.00
379,5.39,1406,942,111.80,1.90
380,8.25,1408,948,104.04,1.94
381,15.00,575,814,53.13,1.94
382,7.07,717,867,45.00,1.41
383,5.66,708,875,45.00,1.41
384,15.00,1382,1109,143.13,2.00
385,8.60,1618,856,35.54,1.94
386,8.60,1607,863,35.54,1.94
387,13.60,1309,1163,72.90,1.94
388,15.52,1336,659,75.07,2.06
389,5.83,212,737,59.04,1.79
390,15.30,422,579,78.69,1.97
391,10.44,438,484,163.30,1.97
392,5.39,818,1091,111.80,1.94
393,11.05,485,962,174.81,1.00
394,5.83,1413,1068,30.96,1.94
395,1.41,1411,1068,135.00,1.00
396,5.10,182,488,101.31,1.00
397,18.68,1334,1148,105.52,1.96
398,11.18,1769,1110,10.30,1.99
399,7.81,758,598,50.19,1.94
400,20.62,1207,856,39.09,2.03
401,3.61,262,453,33.69,1.79
402,13.04,828,785,57.53,2.11
403,12.81,594,831,51.34,2.05
404,8.94,487,387,63.43,2.04
405,5.83,1460,1047,149.04,1.90
406,6.40,1311,1022,38.66,2.00
407,10.00,528,982,36.87,2.06
408,7.21,721,862,146.31,1.79
409,1.41,728,866,135.00,1.00
410,2.83,737,871,135.00,1.41
411,9.85,1674,1111,113.96,1.90
412,16.28,949,852,169.38,2.05
413,7.07,518,804,45.00,1.41
414,1.41,139,403,135.00,1.00
415,7.62,1120,727,113.20,2.04
416,2.24,404,456,116.57,1.00
417,6.32,402,465,71.57,1.96
418,4.47,401,472,63.43,1.90
419,15.62,779,1035,129.81,2.03
420,21.10,1165,915,95.44,1.99
421,8.54,1300,929,20.56,2.04
422,13.15,628,734,81.25,1.98
423,17.72,1006,831,73.61,2.06
424,6.32,958,900,71.57,1.94
425,5.10,1209,703,168.69,1.00
426,2.24,896,959,116.57,1.00
427,4.47,892,977,63.43,1.90
428,6.32,322,529,71.57,1.96
429,14.87,906,906,109.65,1.90
430,13.15,326,578,81.25,1.99
431,6.08,326,580,99.46,1.00
432,9.85,511,925,156.04,1.90
433,5.39,732,799,68.20,1.90
434,12.65,413,496,108.43,1.94
435,3.61,1093,1080,33.69,1.79
436,11.70,490,840,19.98,2.11
437,4.47,638,716,26.57,1.79
438,10.44,1164,848,73.30,1.94
439,11.66,265,548,59.04,2.11
440,10.00,1151,640,36.87,2.00
441,5.00,1746,1160,126.87,1.79
442,4.12,437,734,165.96,1.00
443,6.08,564,600,170.54,1.00
444,7.07,575,872,135.00,1.41
445,10.82,464,388,123.69,2.06
446,5.00,1505,969,143.13,1.94
447,18.87,862,846,32.01,2.11
448,5.83,303,535,149.04,1.94
449,5.83,465,388,149.04,1.94
450,21.63,488,699,33.69,2.12
451,5.83,756,760,30.96,1.79
452,6.08,955,672,170.54,1.00
453,9.06,1215,963,96.34,1.00
454,2.24,1363,967,153.43,1.00
455,2.24,1382,967,153.43,1.00
456,2.83,951,882,135.00,1.41
457,5.00,930,1013,53.13,1.79
458,20.22,33,460,8.53,1.99
459,5.10,1576,598,168.69,1.00
460,3.61,285,669,33.69,1.79
461,7.81,270,680,39.81,2.00
