 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
174,1.41,1254,345,135.00,1.00
175,7.81,1303,559,39.81,2.03
176,8.60,759,337,144.46,1.94
177,9.43,877,782,32.01,2.06
178,1.41,962,933,135.00,1.00
179,3.61,1061,301,123.69,1.79
180,11.70,1304,477,160.02,2.06
181,11.40,822,564,127.87,2.09
182,6.71,1310,687,63.43,1.90
183,8.06,964,951,150.26,2.06
184,11.18,1025,444,153.43,2.13
185,5.83,996,781,59.04,1.79
186,4.12,1260,818,165.96,1.00
187,7.21,1311,426,146.31,2.00
188,6.71,1039,292,26.57,1.79
189,12.53,858,956,28.61,1.79
190,5.39,1340,572,68.20,1.94
191,3.16,1169,667,108.43,1.00
192,6.40,840,499,141.34,2.00
193,4.24,913,740,135.00,1.41
194,3.16,669,506,161.57,1.00
195,3.61,727,826,33.69,1.79
196,3.16,1265,772,161.57,1.00
197,1.41,984,236,135.00,1.00
198,7.21,1087,526,146.31,1.79
199,6.08,1224,804,170.54,1.00
200,1.41,874,894,135.00,1.00
201,10.30,916,1109,119.05,1.79
202,7.07,1036,403,135.00,1.41
203,3.61,673,545,146.31,1.79
204,5.39,852,322,158.20,1.90
205,3.16,830,876,161.57,1.00
206,2.24,859,621,153.43,1.00
207,10.20,1245,435,168.69,1.97
208,5.83,934,259,149.04,1.90
209,2.24,948,265,153.43,1.00
210,8.94,1092,932,26.57,2.04
211,18.44,976,925,139.40,2.07
212,5.83,980,793,30.96,1.79
213,5.66,963,975,45.00,1.41
214,5.00,1204,835,126.87,1.94
215,10.63,1035,309,138.81,2.00
216,2.24,1009,372,153.43,1.00
217,12.17,992,375,9.46,1.97
218,3.61,1180,940,56.31,1.79
219,7.07,961,1001,135.00,1.41
220,5.39,845,922,21.80,1.94
221,5.39,749,551,158.20,1.90
222,4.12,830,796,165.96,1.00
223,5.10,819,797,168.69,1.00
224,4.24,833,361,135.00,1.41
225,7.21,820,746,33.69,1.94
226,1.41,1178,294,135.00,1.00
227,6.71,859,275,153.43,1.79
228,13.93,960,673,21.04,2.11
229,9.06,797,706,173.66,1.00
230,2.83,840,525,45.00,1.41
231,5.39,886,887,158.20,1.90
232,2.83,1250,830,45.00,1.41
233,3.16,822,739,161.57,1.00
234,5.39,833,741,158.20,1.90
235,5.00,913,784,53.13,1.94
236,12.04,961,1020,41.63,2.03
237,2.83,856,296,45.00,1.41
238,6.71,974,297,26.57,1.79
239,7.62,993,811,23.20,1.90
240,1.41,1047,385,135.00,1.00
241,2.24,1055,388,153.43,1.00
242,7.21,818,792,146.31,1.79
243,4.47,830,798,153.43,1.79
244,2.83,813,939,45.00,1.41
245,5.66,1213,569,45.00,1.41
246,7.28,794,742,164.05,1.94
247,3.16,1139,926,108.43,1.00
248,6.32,902,763,161.57,1.90
249,3.61,896,784,146.31,1.79
250,5.00,1234,465,53.13,1.94
251,2.24,904,546,153.43,1.00
252,5.00,824,716,143.13,1.79
253,3.61,834,722,146.31,1.79
254,5.00,1010,813,143.13,1.94
255,5.39,772,349,68.20,1.90
256,8.94,1375,301,153.43,2.04
257,8.25,840,996,14.04,1.94
258,7.28,849,570,164.05,1.94
259,7.21,1079,285,146.31,1.94
260,3.16,822,240,108.43,1.00
261,4.12,835,719,165.96,1.00
262,3.16,824,720,161.57,1.00
263,4.24,1014,492,135.00,1.41
264,6.08,794,339,99.46,1.00
265,11.18,1304,479,169.70,1.98
266,1.41,1322,700,135.00,1.00
267,15.26,1091,265,121.61,2.11
268,7.81,1359,581,50.19,2.00
269,7.07,1258,739,171.87,1.00
270,3.61,1199,952,56.31,1.79
271,6.40,1244,807,128.66,1.94
272,5.83,1222,822,120.96,1.94
273,6.71,1183,392,153.43,1.90
274,10.00,960,595,53.13,1.94
275,1.41,1003,873,135.00,1.00
276,1.41,894,547,135.00,1.00
277,2.24,900,570,153.43,1.00
278,11.18,1006,498,10.30,1.99
279,7.28,1125,563,15.95,1.94
280,3.61,1050,826,123.69,1.79
281,4.47,678,670,26.57,1.79
282,8.54,1025,424,20.56,1.94
283,3.61,820,570,33.69,1.79
284,2.24,688,658,116.57,1.00
285,2.83,1055,388,135.00,1.41
286,5.00,1016,479,126.87,1.94
287,9.85,943,280,66.04,2.04
288,7.21,1173,511,33.69,1.94
289,2.24,818,379,116.57,1.00
290,4.47,853,344,26.57,1.90
291,1.41,843,347,135.00,1.00
292,11.40,828,763,15.26,2.06
293,8.54,950,657,110.56,1.94
294,2.83,741,526,45.00,1.41
295,13.45,1229,563,131.99,2.06
296,5.39,1189,545,21.80,1.94
297,4.47,1393,235,153.43,1.90
298,4.47,1330,556,153.43,1.79
299,8.54,1199,562,69.44,1.94
300,5.10,885,360,168.69,1.00
301,10.30,1342,359,150.95,2.10
302,2.24,1287,882,153.43,1.00
303,6.71,867,875,26.57,1.90
304,5.39,1220,340,68.20,1.94
305,8.49,840,995,45.00,1.41
306,3.61,1187,530,33.69,1.79
307,3.61,912,537,146.31,1.79
308,12.53,914,837,151.39,2.11
309,7.21,852,566,123.69,1.79
